POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Basic,31,days,31,days,18,59,116.12,232.25,232.25,93.39,186.77,186.77,78.72,157.44,157.44,59.7,119.4,119.4,57.73,115.46,115.46,67.95,135.89,135.89
Woolworths Travel Insurance,Basic,32,days,32,days,18,59,119.4,238.8,238.8,96.58,193.16,193.16,80.7,161.4,161.4,61.67,123.34,123.34,58.38,116.77,116.77,68.72,137.43,137.43
Woolworths Travel Insurance,Basic,33,days,33,days,18,59,122.02,244.04,244.04,98.5,197,197,82.66,165.31,165.31,62.32,124.64,124.64,60.36,120.73,120.73,71.04,142.09,142.09
Woolworths Travel Insurance,Basic,34,days,34,days,18,59,125.31,250.61,250.61,100.42,200.84,200.84,84.64,169.27,169.27,64.3,128.6,128.6,61.67,123.34,123.34,72.58,145.16,145.16
Woolworths Travel Insurance,Basic,35,days,35,days,18,59,127.93,255.86,255.86,103.63,207.25,207.25,86.6,173.19,173.19,65.61,131.21,131.21,62.32,124.64,124.64,73.35,146.7,146.7
Woolworths Travel Insurance,Basic,36,days,42,days,18,59,152.2,304.41,304.41,129.21,258.41,258.41,108.91,217.82,217.82,85.94,171.88,171.88,82.66,165.31,165.31,97.28,194.57,194.57
Woolworths Travel Insurance,Basic,43,days,49,days,18,59,167.29,334.59,334.59,140.73,281.46,281.46,123.34,246.68,246.68,93.81,187.62,187.62,91.85,183.7,183.7,108.1,216.21,216.21
Woolworths Travel Insurance,Basic,50,days,56,days,18,59,191.57,383.13,383.13,155.43,310.86,310.86,132.52,265.04,265.04,103.66,207.31,207.31,99.72,199.43,199.43,117.36,234.73,234.73
Woolworths Travel Insurance,Basic,57,days,63,days,18,59,202.07,404.13,404.13,164.39,328.78,328.78,144.34,288.67,288.67,114.81,229.62,229.62,110.87,221.74,221.74,130.49,260.98,260.98
Woolworths Travel Insurance,Basic,64,days,70,days,18,59,221.09,442.17,442.17,179.11,358.22,358.22,157.46,314.91,314.91,122.02,244.04,244.04,116.12,232.25,232.25,136.67,273.35,273.35
Woolworths Travel Insurance,Basic,71,days,77,days,18,59,243.39,486.78,486.78,184.86,369.71,369.71,173.85,347.71,347.71,134.49,268.98,268.98,129.25,258.49,258.49,152.12,304.23,304.23
Woolworths Travel Insurance,Basic,78,days,84,days,18,59,247.33,494.66,494.66,188.69,377.39,377.39,177.79,355.59,355.59,144.34,288.67,288.67,138.43,276.86,276.86,162.92,325.85,325.85
Woolworths Travel Insurance,Basic,85,days,90,days,18,59,249.3,498.59,498.59,190.61,381.23,381.23,179.75,359.5,359.5,149.58,299.16,299.16,142.36,284.71,284.71,167.55,335.1,335.1
Woolworths Travel Insurance,Basic,91,days,119,days,18,59,300.47,600.93,600.93,230.27,460.54,460.54,217.16,434.31,434.31,169.25,338.51,338.51,162.7,325.4,325.4,191.49,382.99,382.99
Woolworths Travel Insurance,Basic,120,days,149,days,18,59,350.32,700.64,700.64,267.37,534.74,534.74,249.3,498.59,498.59,196.81,393.62,393.62,188.94,377.89,377.89,222.38,444.76,444.76
Woolworths Travel Insurance,Basic,150,days,179,days,18,59,402.81,805.61,805.61,307.03,614.06,614.06,286.69,573.39,573.39,217.8,435.6,435.6,217.16,434.31,434.31,255.59,511.17,511.17
Woolworths Travel Insurance,Basic,180,days,209,days,18,59,457.26,914.52,914.52,349.25,698.49,698.49,328.03,656.05,656.05,259.14,518.29,518.29,247.33,494.66,494.66,291.1,582.19,582.19
Woolworths Travel Insurance,Basic,210,days,239,days,18,59,503.84,1007.68,1007.68,383.79,767.57,767.57,360.17,720.33,720.33,285.38,570.75,570.75,273.57,547.14,547.14,321.98,643.97,643.97
Woolworths Travel Insurance,Basic,240,days,269,days,18,59,554.36,1108.71,1108.71,422.17,844.33,844.33,395.59,791.18,791.18,314.9,629.81,629.81,298.5,597,597,351.32,702.64,702.64
Woolworths Travel Insurance,Basic,270,days,299,days,18,59,601.59,1203.17,1203.17,458.62,917.24,917.24,425.12,850.24,850.24,339.18,678.36,678.36,322.77,645.54,645.54,379.89,759.78,759.78
Woolworths Travel Insurance,Basic,300,days,329,days,18,59,648.18,1296.35,1296.35,493.8,987.6,987.6,457.91,915.83,915.83,367.38,734.76,734.76,350.32,700.64,700.64,412.31,824.63,824.63
Woolworths Travel Insurance,Basic,330,days,366,days,18,59,684.25,1368.51,1368.51,523.23,1046.46,1046.46,483.5,967.01,967.01,388.38,776.76,776.76,371.32,742.64,742.64,437.03,874.06,874.06
Woolworths Travel Insurance,Basic,3,days,3,days,60,69,26.4,52.81,52.81,23.54,47.08,47.08,21.13,42.26,42.26,19.61,39.22,39.22,19.61,39.22,39.22,23.08,46.16,46.16
Woolworths Travel Insurance,Basic,4,days,4,days,60,69,36.22,72.44,72.44,30.89,61.79,61.79,27.91,55.82,55.82,26.4,52.81,52.81,26.4,52.81,52.81,31.08,62.15,62.15
Woolworths Travel Insurance,Basic,5,days,5,days,60,69,45.27,90.54,90.54,38.25,76.5,76.5,34.7,69.41,69.41,33.95,67.9,67.9,28.67,57.35,57.35,33.75,67.5,67.5
Woolworths Travel Insurance,Basic,6,days,6,days,60,69,52.06,104.13,104.13,45.6,91.21,91.21,39.23,78.47,78.47,36.22,72.44,72.44,29.43,58.86,58.86,34.64,69.27,69.27
Woolworths Travel Insurance,Basic,7,days,7,days,60,69,58.85,117.69,117.69,50.75,101.5,101.5,45.27,90.54,90.54,38.47,76.94,76.94,31.69,63.38,63.38,37.3,74.59,74.59
Woolworths Travel Insurance,Basic,8,days,8,days,60,69,62.62,125.25,125.25,52.97,105.94,105.94,46.78,93.56,93.56,39.23,78.47,78.47,32.44,64.88,64.88,38.18,76.37,76.37
Woolworths Travel Insurance,Basic,9,days,9,days,60,69,58.85,117.69,117.69,56.65,113.29,113.29,49.04,98.08,98.08,40.74,81.48,81.48,33.95,67.9,67.9,39.96,79.91,79.91
Woolworths Travel Insurance,Basic,10,days,10,days,60,69,61.86,123.72,123.72,58.85,117.69,117.69,51.3,102.6,102.6,41.49,82.99,82.99,34.7,69.41,69.41,40.84,81.69,81.69
Woolworths Travel Insurance,Basic,11,days,11,days,60,69,64.88,129.77,129.77,61.06,122.11,122.11,53.56,107.12,107.12,43,86,86,35.46,70.91,70.91,41.73,83.46,83.46
Woolworths Travel Insurance,Basic,12,days,12,days,60,69,68.66,137.32,137.32,64.73,129.47,129.47,55.83,111.66,111.66,43.75,87.51,87.51,36.97,73.95,73.95,43.52,87.03,87.03
Woolworths Travel Insurance,Basic,13,days,13,days,60,69,72.43,144.86,144.86,66.94,133.89,133.89,56.58,113.17,113.17,45.27,90.54,90.54,37.72,75.43,75.43,44.39,88.78,88.78
Woolworths Travel Insurance,Basic,14,days,14,days,60,69,75.44,150.89,150.89,69.88,139.75,139.75,58.85,117.69,117.69,46.78,93.56,93.56,38.47,76.94,76.94,45.28,90.56,90.56
Woolworths Travel Insurance,Basic,15,days,15,days,60,69,77.7,155.41,155.41,71.35,142.71,142.71,61.86,123.72,123.72,47.53,95.07,95.07,39.99,79.97,79.97,47.06,94.13,94.13
Woolworths Travel Insurance,Basic,16,days,16,days,60,69,79.22,158.44,158.44,73.56,147.13,147.13,62.62,125.25,125.25,49.04,98.08,98.08,46.78,93.56,93.56,55.06,110.11,110.11
Woolworths Travel Insurance,Basic,17,days,17,days,60,69,82.24,164.47,164.47,75.76,151.53,151.53,64.88,129.77,129.77,49.79,99.59,99.59,47.53,95.07,95.07,55.94,111.89,111.89
Woolworths Travel Insurance,Basic,18,days,18,days,60,69,96.57,193.14,193.14,77.98,155.95,155.95,66.39,132.78,132.78,52.06,104.13,104.13,49.04,98.08,98.08,57.72,115.44,115.44
Woolworths Travel Insurance,Basic,19,days,19,days,60,69,98.83,197.67,197.67,79.44,158.88,158.88,68.66,137.32,137.32,53.56,107.12,107.12,49.79,99.59,99.59,58.6,117.21,117.21
Woolworths Travel Insurance,Basic,20,days,20,days,60,69,101.09,202.19,202.19,81.65,163.3,163.3,69.41,138.81,138.81,54.31,108.63,108.63,51.3,102.6,102.6,60.38,120.76,120.76
Woolworths Travel Insurance,Basic,21,days,21,days,60,69,104.12,208.24,208.24,83.86,167.73,167.73,71.68,143.35,143.35,55.83,111.66,111.66,52.06,104.13,104.13,61.28,122.55,122.55
Woolworths Travel Insurance,Basic,22,days,22,days,60,69,107.13,214.26,214.26,86.06,172.13,172.13,73.18,146.37,146.37,56.58,113.17,113.17,53.56,107.12,107.12,63.04,126.08,126.08
Woolworths Travel Insurance,Basic,23,days,23,days,60,69,109.39,218.78,218.78,88.27,176.55,176.55,75.44,150.89,150.89,58.09,116.18,116.18,54.31,108.63,108.63,63.93,127.85,127.85
Woolworths Travel Insurance,Basic,24,days,24,days,60,69,112.42,224.83,224.83,90.47,180.95,180.95,76.95,153.9,153.9,58.85,117.69,117.69,55.83,111.66,111.66,65.71,131.42,131.42
Woolworths Travel Insurance,Basic,25,days,25,days,60,69,114.68,229.35,229.35,92.68,185.37,185.37,79.22,158.44,158.44,60.36,120.73,120.73,56.58,113.17,113.17,66.6,133.2,133.2
Woolworths Travel Insurance,Basic,26,days,26,days,60,69,116.94,233.88,233.88,94.89,189.79,189.79,79.97,159.95,159.95,61.86,123.72,123.72,58.85,117.69,117.69,69.26,138.52,138.52
Woolworths Travel Insurance,Basic,27,days,27,days,60,69,119.21,238.42,238.42,97.09,194.19,194.19,82.24,164.47,164.47,62.62,125.25,125.25,60.36,120.73,120.73,71.04,142.09,142.09
Woolworths Travel Insurance,Basic,28,days,28,days,60,69,122.98,245.95,245.95,99.31,198.61,198.61,83.74,167.48,167.48,64.13,128.26,128.26,61.86,123.72,123.72,72.81,145.61,145.61
Woolworths Travel Insurance,Basic,29,days,29,days,60,69,126.75,253.51,253.51,101.52,203.03,203.03,86,172.01,172.01,64.88,129.77,129.77,62.62,125.25,125.25,73.71,147.41,147.41
Woolworths Travel Insurance,Basic,30,days,30,days,60,69,129.77,259.54,259.54,105.19,210.39,210.39,88.27,176.55,176.55,67.14,134.29,134.29,64.88,129.77,129.77,76.37,152.73,152.73
Woolworths Travel Insurance,Basic,31,days,31,days,60,69,133.54,267.07,267.07,107.39,214.79,214.79,90.53,181.07,181.07,68.66,137.32,137.32,66.39,132.78,132.78,78.14,156.28,156.28
Woolworths Travel Insurance,Basic,32,days,32,days,60,69,137.31,274.63,274.63,111.07,222.14,222.14,92.79,185.59,185.59,70.92,141.84,141.84,67.14,134.29,134.29,79.03,158.05,158.05
Woolworths Travel Insurance,Basic,33,days,33,days,60,69,140.33,280.65,280.65,113.28,226.56,226.56,95.07,190.13,190.13,71.68,143.35,143.35,69.41,138.81,138.81,81.69,163.37,163.37
Woolworths Travel Insurance,Basic,34,days,34,days,60,69,144.09,288.19,288.19,115.49,230.98,230.98,97.33,194.65,194.65,73.94,147.87,147.87,70.92,141.84,141.84,83.47,166.95,166.95
Woolworths Travel Insurance,Basic,35,days,35,days,60,69,147.12,294.24,294.24,119.17,238.34,238.34,99.59,199.17,199.17,75.44,150.89,150.89,71.68,143.35,143.35,84.36,168.72,168.72
Woolworths Travel Insurance,Basic,36,days,42,days,60,69,175.04,350.08,350.08,148.59,297.17,297.17,125.24,250.47,250.47,98.83,197.67,197.67,95.07,190.13,190.13,111.89,223.78,223.78
Woolworths Travel Insurance,Basic,43,days,49,days,60,69,192.38,384.76,384.76,161.83,323.66,323.66,141.83,283.67,283.67,107.89,215.77,215.77,105.62,211.25,211.25,124.32,248.63,248.63
Woolworths Travel Insurance,Basic,50,days,56,days,60,69,220.3,440.6,440.6,178.75,357.49,357.49,152.39,304.79,304.79,119.21,238.42,238.42,114.68,229.35,229.35,134.97,269.94,269.94
Woolworths Travel Insurance,Basic,57,days,63,days,60,69,232.37,464.74,464.74,189.06,378.11,378.11,165.98,331.95,331.95,132.03,264.06,264.06,127.51,255.01,255.01,150.07,300.14,300.14
Woolworths Travel Insurance,Basic,64,days,70,days,60,69,254.25,508.5,508.5,205.96,411.93,411.93,181.07,362.14,362.14,140.33,280.65,280.65,133.54,267.07,267.07,157.17,314.33,314.33
Woolworths Travel Insurance,Basic,71,days,77,days,60,69,279.9,559.8,559.8,212.59,425.17,425.17,199.93,399.85,399.85,154.66,309.33,309.33,148.63,297.25,297.25,174.93,349.85,349.85
Woolworths Travel Insurance,Basic,78,days,84,days,60,69,284.43,568.86,568.86,217.01,434.01,434.01,204.46,408.91,408.91,165.98,331.95,331.95,159.2,318.39,318.39,187.37,374.73,374.73
Woolworths Travel Insurance,Basic,85,days,90,days,60,69,286.69,573.39,573.39,219.21,438.41,438.41,206.72,413.44,413.44,172.02,344.03,344.03,163.72,327.43,327.43,192.69,385.38,385.38
Woolworths Travel Insurance,Basic,91,days,119,days,60,69,345.54,691.08,691.08,264.81,529.62,529.62,249.73,499.46,499.46,194.65,389.3,389.3,187.11,374.21,374.21,220.22,440.43,440.43
Woolworths Travel Insurance,Basic,120,days,149,days,60,69,402.88,805.75,805.75,307.48,614.96,614.96,286.69,573.39,573.39,226.34,452.68,452.68,217.29,434.58,434.58,255.74,511.48,511.48
Woolworths Travel Insurance,Basic,150,days,179,days,60,69,463.23,926.46,926.46,353.08,706.17,706.17,329.69,659.39,659.39,250.47,500.95,500.95,249.73,499.46,499.46,293.92,587.84,587.84
