POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Basic,29,days,29,days,70,74,181.86,363.72,363.72,145.64,291.28,291.28,123.41,246.82,246.82,93.09,186.17,186.17,89.85,179.7,179.7,105.75,211.5,211.5
Woolworths Travel Insurance,Basic,30,days,30,days,70,74,186.18,372.36,372.36,150.93,301.85,301.85,126.65,253.31,253.31,96.34,192.68,192.68,93.09,186.17,186.17,109.56,219.12,219.12
Woolworths Travel Insurance,Basic,31,days,31,days,70,74,191.6,383.19,383.19,154.09,308.18,308.18,129.9,259.8,259.8,98.5,197,197,95.26,190.51,190.51,112.11,224.23,224.23
Woolworths Travel Insurance,Basic,32,days,32,days,70,74,197,394.01,394.01,159.37,318.73,318.73,133.14,266.29,266.29,101.76,203.51,203.51,96.34,192.68,192.68,113.39,226.78,226.78
Woolworths Travel Insurance,Basic,33,days,33,days,70,74,201.34,402.69,402.69,162.53,325.06,325.06,136.39,272.78,272.78,102.83,205.66,205.66,99.59,199.17,199.17,117.21,234.42,234.42
Woolworths Travel Insurance,Basic,34,days,34,days,70,74,206.75,413.5,413.5,165.71,331.41,331.41,139.63,279.27,279.27,106.09,212.17,212.17,101.76,203.51,203.51,119.76,239.53,239.53
Woolworths Travel Insurance,Basic,35,days,35,days,70,74,211.08,422.16,422.16,170.97,341.94,341.94,142.89,285.78,285.78,108.25,216.49,216.49,102.83,205.66,205.66,121.03,242.06,242.06
Woolworths Travel Insurance,Basic,36,days,42,days,70,74,251.14,502.27,502.27,213.2,426.4,426.4,179.69,359.38,359.38,141.8,283.61,283.61,136.39,272.78,272.78,160.52,321.05,321.05
Woolworths Travel Insurance,Basic,43,days,49,days,70,74,276.03,552.07,552.07,232.19,464.37,464.37,203.51,407.03,407.03,154.79,309.59,309.59,151.54,303.08,303.08,178.36,356.71,356.71
Woolworths Travel Insurance,Basic,50,days,56,days,70,74,316.08,632.16,632.16,256.46,512.92,512.92,218.65,437.31,437.31,171.03,342.06,342.06,164.54,329.08,329.08,193.66,387.32,387.32
Woolworths Travel Insurance,Basic,57,days,63,days,70,74,333.4,666.8,666.8,271.24,542.48,542.48,238.15,476.29,476.29,189.44,378.87,378.87,182.94,365.87,365.87,215.31,430.62,430.62
Woolworths Travel Insurance,Basic,64,days,70,days,70,74,364.8,729.6,729.6,295.51,591.03,591.03,259.79,519.57,519.57,201.34,402.69,402.69,191.6,383.19,383.19,225.5,451.01,451.01
Woolworths Travel Insurance,Basic,71,days,77,days,70,74,401.6,803.2,803.2,305.01,610.02,610.02,286.85,573.71,573.71,221.91,443.82,443.82,213.25,426.5,426.5,250.99,501.97,501.97
Woolworths Travel Insurance,Basic,78,days,84,days,70,74,408.09,816.18,816.18,311.35,622.7,622.7,293.34,586.69,586.69,238.15,476.29,476.29,228.4,456.8,456.8,268.82,537.64,537.64
Woolworths Travel Insurance,Basic,85,days,90,days,70,74,411.34,822.67,822.67,314.51,629.03,629.03,296.6,593.2,593.2,246.81,493.61,493.61,234.9,469.8,469.8,276.47,552.94,552.94
Woolworths Travel Insurance,Basic,91,days,119,days,70,74,495.77,991.54,991.54,379.95,759.9,759.9,358.3,716.6,716.6,279.28,558.56,558.56,268.46,536.91,536.91,315.96,631.93,631.93
Woolworths Travel Insurance,Basic,120,days,149,days,70,74,578.04,1156.07,1156.07,441.17,882.33,882.33,411.34,822.67,822.67,324.74,649.48,649.48,311.75,623.5,623.5,366.92,733.84,733.84
Woolworths Travel Insurance,Basic,150,days,179,days,70,74,664.64,1329.28,1329.28,506.59,1013.18,1013.18,473.05,946.09,946.09,359.38,718.77,718.77,358.3,716.6,716.6,421.7,843.41,843.41
Woolworths Travel Insurance,Basic,180,days,209,days,70,74,754.48,1508.97,1508.97,576.26,1152.52,1152.52,541.23,1082.47,1082.47,427.58,855.16,855.16,408.09,816.18,816.18,480.31,960.62,960.62
Woolworths Travel Insurance,Basic,210,days,239,days,70,74,831.34,1662.69,1662.69,633.25,1266.49,1266.49,594.28,1188.57,1188.57,470.87,941.75,941.75,451.39,902.79,902.79,531.27,1062.55,1062.55
Woolworths Travel Insurance,Basic,240,days,269,days,70,74,914.69,1829.39,1829.39,696.57,1393.14,1393.14,652.73,1305.45,1305.45,519.59,1039.19,1039.19,492.53,985.05,985.05,579.69,1159.37,1159.37
Woolworths Travel Insurance,Basic,270,days,299,days,70,74,992.63,1985.26,1985.26,756.73,1513.47,1513.47,701.43,1402.87,1402.87,559.64,1119.28,1119.28,532.57,1065.15,1065.15,626.82,1253.64,1253.64
Woolworths Travel Insurance,Basic,300,days,329,days,70,74,1069.49,2138.98,2138.98,814.79,1629.57,1629.57,755.57,1511.14,1511.14,606.19,1212.38,1212.38,578.04,1156.07,1156.07,680.33,1360.66,1360.66
Woolworths Travel Insurance,Basic,330,days,366,days,70,74,1129.02,2258.03,2258.03,863.33,1726.67,1726.67,797.78,1595.55,1595.55,640.82,1281.64,1281.64,612.68,1225.36,1225.36,721.1,1442.2,1442.2
Woolworths Travel Insurance,Basic,3,days,3,days,75,79,74.63,149.26,149.26,66.52,133.04,133.04,59.7,119.4,119.4,55.44,110.88,110.88,55.44,110.88,110.88,65.25,130.5,130.5
Woolworths Travel Insurance,Basic,4,days,4,days,75,79,102.35,204.7,204.7,87.32,174.64,174.64,78.89,157.78,157.78,74.63,149.26,149.26,74.63,149.26,149.26,87.84,175.67,175.67
Woolworths Travel Insurance,Basic,5,days,5,days,75,79,127.93,255.86,255.86,108.1,216.19,216.19,98.08,196.16,196.16,95.95,191.9,191.9,81.02,162.04,162.04,95.36,190.71,190.71
Woolworths Travel Insurance,Basic,6,days,6,days,75,79,147.12,294.24,294.24,128.89,257.79,257.79,110.87,221.74,221.74,102.35,204.7,204.7,83.16,166.32,166.32,97.88,195.75,195.75
Woolworths Travel Insurance,Basic,7,days,7,days,75,79,166.31,332.62,332.62,143.44,286.88,286.88,127.93,255.86,255.86,108.74,217.48,217.48,89.55,179.1,179.1,105.4,210.79,210.79
Woolworths Travel Insurance,Basic,8,days,8,days,75,79,176.97,353.94,353.94,149.67,299.34,299.34,132.19,264.38,264.38,110.87,221.74,221.74,91.68,183.36,183.36,107.9,215.81,215.81
Woolworths Travel Insurance,Basic,9,days,9,days,75,79,166.31,332.62,332.62,160.07,320.14,320.14,138.59,277.18,277.18,115.14,230.28,230.28,95.95,191.9,191.9,112.93,225.86,225.86
Woolworths Travel Insurance,Basic,10,days,10,days,75,79,174.84,349.68,349.68,166.31,332.62,332.62,144.98,289.96,289.96,117.27,234.54,234.54,98.08,196.16,196.16,115.44,230.87,230.87
Woolworths Travel Insurance,Basic,11,days,11,days,75,79,183.36,366.72,366.72,172.55,345.1,345.1,151.38,302.76,302.76,121.54,243.08,243.08,100.21,200.42,200.42,117.94,235.89,235.89
Woolworths Travel Insurance,Basic,12,days,12,days,75,79,194.03,388.06,388.06,182.94,365.87,365.87,157.78,315.56,315.56,123.66,247.32,247.32,104.47,208.94,208.94,122.96,245.91,245.91
Woolworths Travel Insurance,Basic,13,days,13,days,75,79,204.69,409.38,409.38,189.18,378.35,378.35,159.92,319.84,319.84,127.93,255.86,255.86,106.61,213.22,213.22,125.48,250.95,250.95
Woolworths Travel Insurance,Basic,14,days,14,days,75,79,213.22,426.44,426.44,197.48,394.97,394.97,166.31,332.62,332.62,132.19,264.38,264.38,108.74,217.48,217.48,127.98,255.96,255.96
Woolworths Travel Insurance,Basic,15,days,15,days,75,79,219.61,439.22,439.22,201.64,403.29,403.29,174.84,349.68,349.68,134.33,268.66,268.66,113,226,226,133,265.99,265.99
Woolworths Travel Insurance,Basic,16,days,16,days,75,79,223.88,447.76,447.76,207.88,415.77,415.77,176.97,353.94,353.94,138.59,277.18,277.18,132.19,264.38,264.38,155.58,311.16,311.16
Woolworths Travel Insurance,Basic,17,days,17,days,75,79,232.41,464.82,464.82,214.12,428.25,428.25,183.36,366.72,366.72,140.73,281.46,281.46,134.33,268.66,268.66,158.1,316.2,316.2
Woolworths Travel Insurance,Basic,18,days,18,days,75,79,272.92,545.84,545.84,220.35,440.7,440.7,187.63,375.26,375.26,147.12,294.24,294.24,138.59,277.18,277.18,163.11,326.23,326.23
Woolworths Travel Insurance,Basic,19,days,19,days,75,79,279.31,558.62,558.62,224.51,449.02,449.02,194.03,388.06,388.06,151.38,302.76,302.76,140.73,281.46,281.46,165.63,331.27,331.27
Woolworths Travel Insurance,Basic,20,days,20,days,75,79,285.71,571.42,571.42,230.75,461.5,461.5,196.16,392.32,392.32,153.52,307.04,307.04,144.98,289.96,289.96,170.63,341.27,341.27
Woolworths Travel Insurance,Basic,21,days,21,days,75,79,294.23,588.46,588.46,236.99,473.98,473.98,202.55,405.1,405.1,157.78,315.56,315.56,147.12,294.24,294.24,173.15,346.31,346.31
Woolworths Travel Insurance,Basic,22,days,22,days,75,79,302.77,605.54,605.54,243.22,486.44,486.44,206.82,413.64,413.64,159.92,319.84,319.84,151.38,302.76,302.76,178.17,356.33,356.33
Woolworths Travel Insurance,Basic,23,days,23,days,75,79,309.17,618.34,618.34,249.46,498.92,498.92,213.22,426.44,426.44,164.17,328.34,328.34,153.52,307.04,307.04,180.69,361.37,361.37
Woolworths Travel Insurance,Basic,24,days,24,days,75,79,317.69,635.38,635.38,255.7,511.39,511.39,217.48,434.96,434.96,166.31,332.62,332.62,157.78,315.56,315.56,185.7,371.4,371.4
Woolworths Travel Insurance,Basic,25,days,25,days,75,79,324.09,648.18,648.18,261.94,523.87,523.87,223.88,447.76,447.76,170.57,341.14,341.14,159.92,319.84,319.84,188.22,376.44,376.44
Woolworths Travel Insurance,Basic,26,days,26,days,75,79,330.49,660.98,660.98,268.17,536.33,536.33,226.01,452.02,452.02,174.84,349.68,349.68,166.31,332.62,332.62,195.74,391.48,391.48
Woolworths Travel Insurance,Basic,27,days,27,days,75,79,336.88,673.76,673.76,274.4,548.81,548.81,232.41,464.82,464.82,176.97,353.94,353.94,170.57,341.14,341.14,200.75,401.51,401.51
Woolworths Travel Insurance,Basic,28,days,28,days,75,79,347.54,695.07,695.07,280.64,561.29,561.29,236.67,473.34,473.34,181.23,362.46,362.46,174.84,349.68,349.68,205.78,411.56,411.56
Woolworths Travel Insurance,Basic,29,days,29,days,75,79,358.2,716.39,716.39,286.88,573.77,573.77,243.06,486.12,486.12,183.36,366.72,366.72,176.97,353.94,353.94,208.29,416.57,416.57
Woolworths Travel Insurance,Basic,30,days,30,days,75,79,366.73,733.45,733.45,297.28,594.56,594.56,249.46,498.92,498.92,189.76,379.52,379.52,183.36,366.72,366.72,215.81,431.61,431.61
Woolworths Travel Insurance,Basic,31,days,31,days,75,79,377.39,754.77,754.77,303.51,607.02,607.02,255.86,511.72,511.72,194.03,388.06,388.06,187.63,375.26,375.26,220.83,441.66,441.66
Woolworths Travel Insurance,Basic,32,days,32,days,75,79,388.05,776.09,776.09,313.9,627.8,627.8,262.25,524.5,524.5,200.42,400.84,400.84,189.76,379.52,379.52,223.34,446.68,446.68
Woolworths Travel Insurance,Basic,33,days,33,days,75,79,396.58,793.15,793.15,320.15,640.3,640.3,268.65,537.3,537.3,202.55,405.1,405.1,196.16,392.32,392.32,230.87,461.74,461.74
Woolworths Travel Insurance,Basic,34,days,34,days,75,79,407.24,814.47,814.47,326.38,652.76,652.76,275.04,550.08,550.08,208.95,417.9,417.9,200.42,400.84,400.84,235.89,471.77,471.77
Woolworths Travel Insurance,Basic,35,days,35,days,75,79,415.77,831.53,831.53,336.77,673.53,673.53,281.44,562.88,562.88,213.22,426.44,426.44,202.55,405.1,405.1,238.39,476.78,476.78
Woolworths Travel Insurance,Basic,36,days,42,days,75,79,494.66,989.31,989.31,419.93,839.85,839.85,353.94,707.87,707.87,279.31,558.62,558.62,268.65,537.3,537.3,316.19,632.38,632.38
Woolworths Travel Insurance,Basic,43,days,49,days,75,79,543.7,1087.39,1087.39,457.34,914.68,914.68,400.85,801.69,801.69,304.9,609.8,609.8,298.5,597,597,351.32,702.64,702.64
Woolworths Travel Insurance,Basic,50,days,56,days,75,79,622.59,1245.17,1245.17,505.16,1010.31,1010.31,430.69,861.37,861.37,336.88,673.76,673.76,324.09,648.18,648.18,381.44,762.88,762.88
Woolworths Travel Insurance,Basic,57,days,63,days,75,79,656.7,1313.39,1313.39,534.26,1068.52,1068.52,469.07,938.13,938.13,373.13,746.25,746.25,360.34,720.67,720.67,424.1,848.21,848.21
Woolworths Travel Insurance,Basic,64,days,70,days,75,79,718.53,1437.07,1437.07,582.08,1164.15,1164.15,511.72,1023.43,1023.43,396.58,793.15,793.15,377.39,754.77,754.77,444.17,888.34,888.34
Woolworths Travel Insurance,Basic,71,days,77,days,75,79,791.02,1582.05,1582.05,600.78,1201.57,1201.57,565.02,1130.03,1130.03,437.09,874.17,874.17,420.04,840.07,840.07,494.37,988.74,988.74
Woolworths Travel Insurance,Basic,78,days,84,days,75,79,803.82,1607.65,1607.65,613.25,1226.5,1226.5,577.81,1155.61,1155.61,469.07,938.13,938.13,449.88,899.75,899.75,529.49,1058.98,1058.98
Woolworths Travel Insurance,Basic,85,days,90,days,75,79,810.21,1620.43,1620.43,619.5,1239,1239,584.21,1168.41,1168.41,486.13,972.25,972.25,462.68,925.35,925.35,544.55,1089.11,1089.11
Woolworths Travel Insurance,Basic,91,days,119,days,75,79,976.52,1953.05,1953.05,748.37,1496.75,1496.75,705.74,1411.49,1411.49,550.1,1100.19,1100.19,528.77,1057.53,1057.53,622.34,1244.68,1244.68
Woolworths Travel Insurance,Basic,120,days,149,days,75,79,1138.56,2277.12,2277.12,868.95,1737.9,1737.9,810.21,1620.43,1620.43,639.65,1279.29,1279.29,614.07,1228.13,1228.13,722.73,1445.46,1445.46
Woolworths Travel Insurance,Basic,150,days,179,days,75,79,1309.14,2618.28,2618.28,997.84,1995.69,1995.69,931.75,1863.51,1863.51,707.87,1415.75,1415.75,705.74,1411.49,1411.49,830.64,1661.27,1661.27
Woolworths Travel Insurance,Comprehensive,3,days,3,days,18,59,35.87,71.74,71.74,31.98,63.96,63.96,28.7,57.41,57.41,26.65,53.31,53.31,26.65,53.31,53.31,31.37,62.74,62.74
Woolworths Travel Insurance,Comprehensive,4,days,4,days,18,59,49.2,98.4,98.4,41.99,83.97,83.97,37.93,75.86,75.86,35.87,71.74,71.74,35.87,71.74,71.74,42.22,84.43,84.43
Woolworths Travel Insurance,Comprehensive,5,days,5,days,18,59,61.51,123.02,123.02,51.96,103.93,103.93,47.15,94.3,94.3,46.13,92.25,92.25,38.95,77.9,77.9,45.85,91.69,91.69
Woolworths Travel Insurance,Comprehensive,6,days,6,days,18,59,70.73,141.46,141.46,61.96,123.92,123.92,53.3,106.6,106.6,49.2,98.4,98.4,39.99,79.97,79.97,47.06,94.13,94.13
Woolworths Travel Insurance,Comprehensive,7,days,7,days,18,59,79.95,159.91,159.91,68.97,137.95,137.95,61.51,123.02,123.02,52.27,104.55,104.55,43.05,86.1,86.1,50.67,101.34,101.34
Woolworths Travel Insurance,Comprehensive,8,days,8,days,18,59,85.08,170.16,170.16,71.97,143.93,143.93,63.55,127.1,127.1,53.3,106.6,106.6,44.08,88.15,88.15,51.88,103.75,103.75
Woolworths Travel Insurance,Comprehensive,9,days,9,days,18,59,79.95,159.91,159.91,76.96,153.92,153.92,66.63,133.26,133.26,55.36,110.72,110.72,46.13,92.25,92.25,54.29,108.58,108.58
Woolworths Travel Insurance,Comprehensive,10,days,10,days,18,59,84.05,168.11,168.11,79.95,159.91,159.91,69.71,139.41,139.41,56.38,112.77,112.77,47.15,94.3,94.3,55.49,110.99,110.99
Woolworths Travel Insurance,Comprehensive,11,days,11,days,18,59,88.16,176.33,176.33,82.95,165.9,165.9,72.79,145.58,145.58,58.42,116.85,116.85,48.18,96.35,96.35,56.7,113.4,113.4
Woolworths Travel Insurance,Comprehensive,12,days,12,days,18,59,93.29,186.57,186.57,87.95,175.9,175.9,75.86,151.71,151.71,59.45,118.9,118.9,50.24,100.47,100.47,59.13,118.25,118.25
Woolworths Travel Insurance,Comprehensive,13,days,13,days,18,59,98.41,196.82,196.82,90.95,181.89,181.89,76.88,153.76,153.76,61.51,123.02,123.02,51.26,102.52,102.52,60.33,120.66,120.66
Woolworths Travel Insurance,Comprehensive,14,days,14,days,18,59,102.51,205.02,205.02,94.94,189.89,189.89,79.95,159.91,159.91,63.55,127.1,127.1,52.27,104.55,104.55,61.53,123.05,123.05
Woolworths Travel Insurance,Comprehensive,15,days,15,days,18,59,105.58,211.17,211.17,96.94,193.89,193.89,84.05,168.11,168.11,64.58,129.16,129.16,54.32,108.65,108.65,63.94,127.88,127.88
Woolworths Travel Insurance,Comprehensive,16,days,16,days,18,59,107.63,215.27,215.27,99.95,199.9,199.9,85.08,170.16,170.16,66.63,133.26,133.26,63.55,127.1,127.1,74.79,149.59,149.59
Woolworths Travel Insurance,Comprehensive,17,days,17,days,18,59,111.72,223.45,223.45,102.94,205.88,205.88,88.16,176.33,176.33,67.66,135.31,135.31,64.58,129.16,129.16,76.01,152.02,152.02
Woolworths Travel Insurance,Comprehensive,18,days,18,days,18,59,131.21,262.43,262.43,105.95,211.89,211.89,90.2,180.4,180.4,70.73,141.46,141.46,66.63,133.26,133.26,78.42,156.85,156.85
Woolworths Travel Insurance,Comprehensive,19,days,19,days,18,59,134.28,268.56,268.56,107.95,215.89,215.89,93.29,186.57,186.57,72.79,145.58,145.58,67.66,135.31,135.31,79.63,159.26,159.26
Woolworths Travel Insurance,Comprehensive,20,days,20,days,18,59,137.36,274.73,274.73,110.93,221.86,221.86,94.31,188.62,188.62,73.8,147.59,147.59,69.71,139.41,139.41,82.04,164.08,164.08
Woolworths Travel Insurance,Comprehensive,21,days,21,days,18,59,141.46,282.92,282.92,113.94,227.89,227.89,97.38,194.75,194.75,75.86,151.71,151.71,70.73,141.46,141.46,83.25,166.5,166.5
Woolworths Travel Insurance,Comprehensive,22,days,22,days,18,59,145.56,291.12,291.12,116.94,233.88,233.88,99.44,198.87,198.87,76.88,153.76,153.76,72.79,145.58,145.58,85.67,171.34,171.34
Woolworths Travel Insurance,Comprehensive,23,days,23,days,18,59,148.64,297.27,297.27,119.93,239.86,239.86,102.51,205.02,205.02,78.92,157.84,157.84,73.8,147.59,147.59,86.85,173.71,173.71
Woolworths Travel Insurance,Comprehensive,24,days,24,days,18,59,152.74,305.47,305.47,122.93,245.85,245.85,104.56,209.12,209.12,79.95,159.91,159.91,75.86,151.71,151.71,89.28,178.56,178.56
Woolworths Travel Insurance,Comprehensive,25,days,25,days,18,59,155.81,311.62,311.62,125.93,251.86,251.86,107.63,215.27,215.27,82,164.01,164.01,76.88,153.76,153.76,90.48,180.97,180.97
Woolworths Travel Insurance,Comprehensive,26,days,26,days,18,59,158.89,317.79,317.79,128.93,257.87,257.87,108.66,217.32,217.32,84.05,168.11,168.11,79.95,159.91,159.91,94.1,188.21,188.21
Woolworths Travel Insurance,Comprehensive,27,days,27,days,18,59,161.96,323.92,323.92,131.93,263.86,263.86,111.72,223.45,223.45,85.08,170.16,170.16,82,164.01,164.01,96.52,193.03,193.03
Woolworths Travel Insurance,Comprehensive,28,days,28,days,18,59,167.08,334.16,334.16,134.92,269.84,269.84,113.78,227.57,227.57,87.13,174.26,174.26,84.05,168.11,168.11,98.93,197.86,197.86
Woolworths Travel Insurance,Comprehensive,29,days,29,days,18,59,172.21,344.41,344.41,137.93,275.85,275.85,116.86,233.71,233.71,88.16,176.33,176.33,85.08,170.16,170.16,100.13,200.27,200.27
Woolworths Travel Insurance,Comprehensive,30,days,30,days,18,59,176.32,352.63,352.63,142.92,285.84,285.84,119.93,239.86,239.86,91.23,182.45,182.45,88.16,176.33,176.33,103.76,207.53,207.53
Woolworths Travel Insurance,Comprehensive,31,days,31,days,18,59,181.44,362.88,362.88,145.92,291.85,291.85,123.01,246.01,246.01,93.29,186.57,186.57,90.2,180.4,180.4,106.16,212.33,212.33
Woolworths Travel Insurance,Comprehensive,32,days,32,days,18,59,186.56,373.13,373.13,150.92,301.83,301.83,126.09,252.18,252.18,96.35,192.7,192.7,91.23,182.45,182.45,107.37,214.74,214.74
Woolworths Travel Insurance,Comprehensive,33,days,33,days,18,59,190.66,381.33,381.33,153.91,307.82,307.82,129.15,258.31,258.31,97.38,194.75,194.75,94.31,188.62,188.62,111,222,222
Woolworths Travel Insurance,Comprehensive,34,days,34,days,18,59,195.79,391.57,391.57,156.9,313.81,313.81,132.23,264.46,264.46,100.46,200.92,200.92,96.35,192.7,192.7,113.4,226.8,226.8
Woolworths Travel Insurance,Comprehensive,35,days,35,days,18,59,199.89,399.77,399.77,161.91,323.82,323.82,135.3,270.61,270.61,102.51,205.02,205.02,97.38,194.75,194.75,114.61,229.22,229.22
Woolworths Travel Insurance,Comprehensive,36,days,42,days,18,59,237.81,475.63,475.63,201.89,403.77,403.77,170.16,340.31,340.31,134.28,268.56,268.56,129.15,258.31,258.31,152.01,304.02,304.02
Woolworths Travel Insurance,Comprehensive,43,days,49,days,18,59,261.39,522.79,522.79,219.88,439.76,439.76,192.71,385.42,385.42,146.59,293.17,293.17,143.51,287.02,287.02,168.91,337.82,337.82
Woolworths Travel Insurance,Comprehensive,50,days,56,days,18,59,299.32,598.64,598.64,242.87,485.73,485.73,207.07,414.14,414.14,161.96,323.92,323.92,155.81,311.62,311.62,183.38,366.76,366.76
Woolworths Travel Insurance,Comprehensive,57,days,63,days,18,59,315.72,631.44,631.44,256.85,513.71,513.71,225.52,451.03,451.03,179.39,358.78,358.78,173.23,346.46,346.46,203.89,407.77,407.77
Woolworths Travel Insurance,Comprehensive,64,days,70,days,18,59,345.44,690.88,690.88,279.85,559.7,559.7,246.01,492.02,492.02,190.66,381.33,381.33,181.44,362.88,362.88,213.55,427.1,427.1
Woolworths Travel Insurance,Comprehensive,71,days,77,days,18,59,380.3,760.6,760.6,288.84,577.69,577.69,271.64,543.28,543.28,210.13,420.27,420.27,201.95,403.89,403.89,237.68,475.37,475.37
Woolworths Travel Insurance,Comprehensive,78,days,84,days,18,59,386.45,772.9,772.9,294.84,589.68,589.68,277.8,555.6,555.6,225.52,451.03,451.03,216.28,432.57,432.57,254.56,509.11,509.11
Woolworths Travel Insurance,Comprehensive,85,days,90,days,18,59,389.52,779.05,779.05,297.83,595.67,595.67,280.87,561.73,561.73,233.71,467.43,467.43,222.44,444.88,444.88,261.81,523.61,523.61
Woolworths Travel Insurance,Comprehensive,91,days,119,days,18,59,469.49,938.98,938.98,359.79,719.59,719.59,339.3,678.6,678.6,264.46,528.92,528.92,254.21,508.42,508.42,299.2,598.39,598.39
Woolworths Travel Insurance,Comprehensive,120,days,149,days,18,59,547.38,1094.77,1094.77,417.77,835.53,835.53,389.52,779.05,779.05,307.52,615.04,615.04,295.22,590.44,590.44,347.47,694.93,694.93
Woolworths Travel Insurance,Comprehensive,150,days,179,days,18,59,629.39,1258.77,1258.77,479.74,959.47,959.47,447.96,895.92,895.92,340.31,680.63,680.63,339.3,678.6,678.6,399.34,798.68,798.68
Woolworths Travel Insurance,Comprehensive,180,days,209,days,18,59,714.49,1428.97,1428.97,545.7,1091.39,1091.39,512.54,1025.08,1025.08,404.91,809.81,809.81,386.45,772.9,772.9,454.84,909.67,909.67
Woolworths Travel Insurance,Comprehensive,210,days,239,days,18,59,787.25,1574.49,1574.49,599.67,1199.34,1199.34,562.76,1125.51,1125.51,445.9,891.8,891.8,427.45,854.9,854.9,503.09,1006.19,1006.19
Woolworths Travel Insurance,Comprehensive,240,days,269,days,18,59,866.19,1732.37,1732.37,659.64,1319.28,1319.28,618.1,1236.21,1236.21,492.04,984.09,984.09,466.4,932.81,932.81,548.94,1097.88,1097.88
Woolworths Travel Insurance,Comprehensive,270,days,299,days,18,59,939.99,1879.98,1879.98,716.6,1433.19,1433.19,664.25,1328.5,1328.5,529.97,1059.94,1059.94,504.33,1008.66,1008.66,593.58,1187.16,1187.16
Woolworths Travel Insurance,Comprehensive,300,days,329,days,18,59,1012.77,2025.55,2025.55,771.56,1543.13,1543.13,715.49,1430.98,1430.98,574.04,1148.08,1148.08,547.38,1094.77,1094.77,644.25,1288.5,1288.5
Woolworths Travel Insurance,Comprehensive,330,days,366,days,18,59,1069.15,2138.29,2138.29,817.54,1635.08,1635.08,755.48,1510.96,1510.96,606.84,1213.68,1213.68,580.18,1160.35,1160.35,682.85,1365.69,1365.69
Woolworths Travel Insurance,Comprehensive,3,days,3,days,60,69,41.25,82.51,82.51,36.78,73.56,73.56,33,66.01,66.01,30.64,61.29,61.29,30.64,61.29,61.29,36.07,72.13,72.13
Woolworths Travel Insurance,Comprehensive,4,days,4,days,60,69,56.58,113.17,113.17,48.28,96.55,96.55,43.61,87.23,87.23,41.25,82.51,82.51,41.25,82.51,82.51,48.55,97.11,97.11
Woolworths Travel Insurance,Comprehensive,5,days,5,days,60,69,70.73,141.46,141.46,59.77,119.54,119.54,54.22,108.45,108.45,53.05,106.1,106.1,44.8,89.6,89.6,52.73,105.46,105.46
Woolworths Travel Insurance,Comprehensive,6,days,6,days,60,69,81.34,162.68,162.68,71.25,142.51,142.51,61.3,122.59,122.59,56.58,113.17,113.17,45.98,91.95,91.95,54.11,108.22,108.22
Woolworths Travel Insurance,Comprehensive,7,days,7,days,60,69,91.94,183.88,183.88,79.3,158.6,158.6,70.73,141.46,141.46,60.12,120.24,120.24,49.51,99.02,99.02,58.27,116.55,116.55
Woolworths Travel Insurance,Comprehensive,8,days,8,days,60,69,97.85,195.7,195.7,82.76,165.52,165.52,73.09,146.18,146.18,61.3,122.59,122.59,50.69,101.37,101.37,59.66,119.31,119.31
Woolworths Travel Insurance,Comprehensive,9,days,9,days,60,69,91.94,183.88,183.88,88.5,177.01,177.01,76.62,153.24,153.24,63.65,127.3,127.3,53.05,106.1,106.1,62.44,124.87,124.87
Woolworths Travel Insurance,Comprehensive,10,days,10,days,60,69,96.66,193.33,193.33,91.94,183.88,183.88,80.17,160.33,160.33,64.84,129.69,129.69,54.22,108.45,108.45,63.82,127.64,127.64
Woolworths Travel Insurance,Comprehensive,11,days,11,days,60,69,101.37,202.75,202.75,95.4,190.79,190.79,83.69,167.38,167.38,67.19,134.39,134.39,55.4,110.8,110.8,65.2,130.41,130.41
Woolworths Travel Insurance,Comprehensive,12,days,12,days,60,69,107.27,214.54,214.54,101.15,202.31,202.31,87.24,174.48,174.48,68.37,136.74,136.74,57.76,115.52,115.52,67.98,135.96,135.96
Woolworths Travel Insurance,Comprehensive,13,days,13,days,60,69,113.17,226.34,226.34,104.59,209.18,209.18,88.41,176.83,176.83,70.73,141.46,141.46,58.94,117.87,117.87,69.37,138.73,138.73
Woolworths Travel Insurance,Comprehensive,14,days,14,days,60,69,117.88,235.76,235.76,109.18,218.36,218.36,91.94,183.88,183.88,73.09,146.18,146.18,60.12,120.24,120.24,70.76,141.52,141.52
Woolworths Travel Insurance,Comprehensive,15,days,15,days,60,69,121.42,242.84,242.84,111.48,222.96,222.96,96.66,193.33,193.33,74.27,148.54,148.54,62.48,124.97,124.97,73.54,147.08,147.08
