POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Kango Cover,Big Red,1,days,4,days,0,59,65,123.5,123.5,53,100.7,100.7,37,70.3,70.3,51,96.9,96.9
Kango Cover,Big Red,5,days,8,days,0,59,96,182.4,182.4,75,142.5,142.5,51,96.9,96.9,72,136.8,136.8
Kango Cover,Big Red,9,days,12,days,0,59,111,210.9,210.9,87,165.3,165.3,59,112.1,112.1,85,161.5,161.5
Kango Cover,Big Red,13,days,17,days,0,59,131,248.9,248.9,96,182.4,182.4,68,129.2,129.2,94,178.6,178.6
Kango Cover,Big Red,18,days,24,days,0,59,155,294.5,294.5,119,226.1,226.1,89,169.1,169.1,115,218.5,218.5
Kango Cover,Big Red,25,days,31,days,0,59,197,374.3,374.3,151,286.9,286.9,103,195.7,195.7,145,275.5,275.5
Kango Cover,Big Red,32,days,35,days,0,59,225,427.5,427.5,167,317.3,317.3,121,229.9,229.9,160,304,304
Kango Cover,Big Red,36,days,45,days,0,59,273,518.7,518.7,197,374.3,374.3,142,269.8,269.8,190,361,361
Kango Cover,Big Red,46,days,62,days,0,59,337,640.3,640.3,243,461.7,461.7,179,340.1,340.1,236,448.4,448.4
Kango Cover,Big Red,63,days,92,days,0,59,449,853.1,853.1,303,575.7,575.7,249,473.1,473.1,299,568.1,568.1
Kango Cover,Big Red,93,days,123,days,0,59,525,997.5,997.5,359,682.1,682.1,289,549.1,549.1,349,663.1,663.1
Kango Cover,Big Red,124,days,153,days,0,59,605,1149.5,1149.5,419,796.1,796.1,327,621.3,621.3,409,777.1,777.1
Kango Cover,Big Red,154,days,185,days,0,59,715,1358.5,1358.5,485,921.5,921.5,373,708.7,708.7,467,887.3,887.3
Kango Cover,Big Red,186,days,216,days,0,59,809,1537.1,1537.1,555,1054.5,1054.5,429,815.1,815.1,545,1035.5,1035.5
Kango Cover,Big Red,217,days,245,days,0,59,887,1685.3,1685.3,615,1168.5,1168.5,484,919.6,919.6,595,1130.5,1130.5
Kango Cover,Big Red,246,days,276,days,0,59,975,1852.5,1852.5,679,1290.1,1290.1,545,1035.5,1035.5,650,1235,1235
Kango Cover,Big Red,277,days,306,days,0,59,1045,1985.5,1985.5,727,1381.3,1381.3,599,1138.1,1138.1,705,1339.5,1339.5
Kango Cover,Big Red,307,days,337,days,0,59,1133,2152.7,2152.7,771,1464.9,1464.9,659,1252.1,1252.1,755,1434.5,1434.5
Kango Cover,Big Red,338,days,366,days,0,59,1195,2270.5,2270.5,799,1518.1,1518.1,712,1352.8,1352.8,795,1510.5,1510.5
Kango Cover,Big Red,1,days,4,days,60,69,77,146.3,146.3,61,115.9,115.9,45,85.5,85.5,59,112.1,112.1
Kango Cover,Big Red,5,days,8,days,60,69,117,222.3,222.3,88,167.2,167.2,61,115.9,115.9,85,161.5,161.5
Kango Cover,Big Red,9,days,12,days,60,69,133,252.7,252.7,102,193.8,193.8,69,131.1,131.1,99,188.1,188.1
Kango Cover,Big Red,13,days,17,days,60,69,161,305.9,305.9,113,214.7,214.7,79,150.1,150.1,109,207.1,207.1
Kango Cover,Big Red,18,days,24,days,60,69,191,362.9,362.9,140,266,266,102,193.8,193.8,136,258.4,258.4
Kango Cover,Big Red,25,days,31,days,60,69,243,461.7,461.7,179,340.1,340.1,118,224.2,224.2,173,328.7,328.7
Kango Cover,Big Red,32,days,35,days,60,69,278,528.2,528.2,197,374.3,374.3,139,264.1,264.1,192,364.8,364.8
Kango Cover,Big Red,36,days,45,days,60,69,341,647.9,647.9,235,446.5,446.5,165,313.5,313.5,227,431.3,431.3
Kango Cover,Big Red,46,days,62,days,60,69,421,799.9,799.9,292,554.8,554.8,205,389.5,389.5,283,537.7,537.7
Kango Cover,Big Red,63,days,92,days,60,69,555,1054.5,1054.5,371,704.9,704.9,285,541.5,541.5,361,685.9,685.9
Kango Cover,Big Red,93,days,123,days,60,69,655,1244.5,1244.5,429,815.1,815.1,325,617.5,617.5,417,792.3,792.3
Kango Cover,Big Red,124,days,153,days,60,69,759,1442.1,1442.1,502,953.8,953.8,379,720.1,720.1,490,931,931
Kango Cover,Big Red,154,days,185,days,60,69,881,1673.9,1673.9,575,1092.5,1092.5,430,817,817,563,1069.7,1069.7
Kango Cover,Big Red,186,days,216,days,60,69,999,1898.1,1898.1,649,1233.1,1233.1,499,948.1,948.1,637,1210.3,1210.3
Kango Cover,Big Red,217,days,245,days,60,69,1095,2080.5,2080.5,715,1358.5,1358.5,569,1081.1,1081.1,699,1328.1,1328.1
Kango Cover,Big Red,246,days,276,days,60,69,1205,2289.5,2289.5,789,1499.1,1499.1,639,1214.1,1214.1,767,1457.3,1457.3
Kango Cover,Big Red,277,days,306,days,60,69,1291,2452.9,2452.9,857,1628.3,1628.3,707,1343.3,1343.3,835,1586.5,1586.5
Kango Cover,Big Red,307,days,337,days,60,69,1399,2658.1,2658.1,919,1746.1,1746.1,779,1480.1,1480.1,895,1700.5,1700.5
Kango Cover,Big Red,338,days,366,days,60,69,1469,2791.1,2791.1,959,1822.1,1822.1,845,1605.5,1605.5,929,1765.1,1765.1
Kango Cover,Eastern Grey,1,days,4,days,0,59,59,112.1,112.1,47,89.3,89.3,35,66.5,66.5,45,85.5,85.5
Kango Cover,Eastern Grey,5,days,8,days,0,59,87,165.3,165.3,67,127.3,127.3,45,85.5,85.5,65,123.5,123.5
Kango Cover,Eastern Grey,9,days,12,days,0,59,99.9,189.81,189.81,79,150.1,150.1,54,102.6,102.6,75,142.5,142.5
Kango Cover,Eastern Grey,13,days,17,days,0,59,120,228,228,87,165.3,165.3,63,119.7,119.7,83,157.7,157.7
Kango Cover,Eastern Grey,18,days,24,days,0,59,141,267.9,267.9,106,201.4,201.4,78,148.2,148.2,103,195.7,195.7
Kango Cover,Eastern Grey,25,days,31,days,0,59,180,342,342,137,260.3,260.3,90,171,171,132,250.8,250.8
Kango Cover,Eastern Grey,32,days,35,days,0,59,207,393.3,393.3,155,294.5,294.5,107,203.3,203.3,145,275.5,275.5
Kango Cover,Eastern Grey,36,days,45,days,0,59,253,480.7,480.7,177,336.3,336.3,131,248.9,248.9,170,323,323
Kango Cover,Eastern Grey,46,days,62,days,0,59,312,592.8,592.8,225,427.5,427.5,157,298.3,298.3,215,408.5,408.5
Kango Cover,Eastern Grey,63,days,92,days,0,59,405,769.5,769.5,285,541.5,541.5,225,427.5,427.5,285,541.5,541.5
Kango Cover,Eastern Grey,93,days,123,days,0,59,478,908.2,908.2,329,625.1,625.1,252,478.8,478.8,325,617.5,617.5
Kango Cover,Eastern Grey,124,days,153,days,0,59,555,1054.5,1054.5,380,722,722,288,547.2,547.2,370,703,703
Kango Cover,Eastern Grey,154,days,185,days,0,59,649,1233.1,1233.1,445,845.5,845.5,335,636.5,636.5,441,837.9,837.9
Kango Cover,Eastern Grey,186,days,216,days,0,59,749,1423.1,1423.1,499,948.1,948.1,378,718.2,718.2,493,936.7,936.7
Kango Cover,Eastern Grey,217,days,245,days,0,59,811,1540.9,1540.9,555,1054.5,1054.5,435,826.5,826.5,527,1001.3,1001.3
Kango Cover,Eastern Grey,246,days,276,days,0,59,889,1689.1,1689.1,605,1149.5,1149.5,479,910.1,910.1,585,1111.5,1111.5
Kango Cover,Eastern Grey,277,days,306,days,0,59,949,1803.1,1803.1,659,1252.1,1252.1,526,999.4,999.4,655,1244.5,1244.5
Kango Cover,Eastern Grey,307,days,337,days,0,59,1027,1951.3,1951.3,699,1328.1,1328.1,570,1083,1083,689,1309.1,1309.1
Kango Cover,Eastern Grey,338,days,366,days,0,59,1078,2048.2,2048.2,735,1396.5,1396.5,619,1176.1,1176.1,715,1358.5,1358.5
Kango Cover,Eastern Grey,1,days,4,days,60,64,72,136.8,136.8,56,106.4,106.4,41,77.9,77.9,56,106.4,106.4
Kango Cover,Eastern Grey,5,days,8,days,60,64,109,207.1,207.1,82,155.8,155.8,56,106.4,106.4,79,150.1,150.1
Kango Cover,Eastern Grey,9,days,12,days,60,64,123,233.7,233.7,98,186.2,186.2,65,123.5,123.5,93,176.7,176.7
Kango Cover,Eastern Grey,13,days,17,days,60,64,149,283.1,283.1,108,205.2,205.2,73,138.7,138.7,103,195.7,195.7
