POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Virgin Money,Comprehensive,33,Days,33,Days,16,24,172.61,345.22,345.22,148.96,297.92,297.92,140.97,281.94,281.94,122.69,245.38,245.38,108.78,217.56,217.56,,,,,,
Virgin Money,Comprehensive,34,Days,34,Days,16,24,174.63,349.26,349.26,149.94,299.88,299.88,142,284,284,123.73,247.46,247.46,110.74,221.48,221.48,,,,,,
Virgin Money,Comprehensive,35,Days,35,Days,16,24,179.67,359.34,359.34,153.86,307.72,307.72,146.12,292.24,292.24,125.83,251.66,251.66,112.7,225.4,225.4,,,,,,
Virgin Money,Comprehensive,36,Days,36,Days,16,24,182.7,365.4,365.4,158.76,317.52,317.52,149.21,298.42,298.42,127.93,255.86,255.86,115.64,231.28,231.28,,,,,,
Virgin Money,Comprehensive,37,Days,37,Days,16,24,183.71,367.42,367.42,159.74,319.48,319.48,150.23,300.46,300.46,131.08,262.16,262.16,115.64,231.28,231.28,,,,,,
Virgin Money,Comprehensive,38,Days,38,Days,16,24,187.75,375.5,375.5,162.68,325.36,325.36,153.32,306.64,306.64,134.22,268.44,268.44,118.58,237.16,237.16,,,,,,
Virgin Money,Comprehensive,39,Days,39,Days,16,24,190.78,381.56,381.56,165.62,331.24,331.24,155.38,310.76,310.76,136.32,272.64,272.64,120.54,241.08,241.08,,,,,,
Virgin Money,Comprehensive,40,Days,40,Days,16,24,195.82,391.64,391.64,168.56,337.12,337.12,158.47,316.94,316.94,138.42,276.84,276.84,123.48,246.96,246.96,,,,,,
Virgin Money,Comprehensive,41,Days,41,Days,16,24,204.91,409.82,409.82,177.38,354.76,354.76,167.73,335.46,335.46,144.71,289.42,289.42,130.34,260.68,260.68,,,,,,
Virgin Money,Comprehensive,42,Days,42,Days,16,24,211.97,423.94,423.94,181.3,362.6,362.6,171.84,343.68,343.68,148.9,297.8,297.8,133.28,266.56,266.56,,,,,,
Virgin Money,Comprehensive,43,Days,43,Days,16,24,219.04,438.08,438.08,189.14,378.28,378.28,178.02,356.04,356.04,155.19,310.38,310.38,139.16,278.32,278.32,,,,,,
Virgin Money,Comprehensive,44,Days,44,Days,16,24,222.07,444.14,444.14,192.08,384.16,384.16,182.13,364.26,364.26,156.24,312.48,312.48,140.14,280.28,280.28,,,,,,
Virgin Money,Comprehensive,45,Days,45,Days,16,24,227.12,454.24,454.24,196,392,392,185.22,370.44,370.44,159.39,318.78,318.78,143.08,286.16,286.16,,,,,,
Virgin Money,Comprehensive,46,Days,46,Days,16,24,229.13,458.26,458.26,197.96,395.92,395.92,187.28,374.56,374.56,161.48,322.96,322.96,145.04,290.08,290.08,,,,,,
Virgin Money,Comprehensive,47,Days,47,Days,16,24,232.16,464.32,464.32,200.9,401.8,401.8,189.34,378.68,378.68,163.58,327.16,327.16,146.02,292.04,292.04,,,,,,
Virgin Money,Comprehensive,48,Days,48,Days,16,24,234.18,468.36,468.36,202.86,405.72,405.72,190.37,380.74,380.74,166.73,333.46,333.46,147,294,294,,,,,,
Virgin Money,Comprehensive,49,Days,49,Days,16,24,237.21,474.42,474.42,205.8,411.6,411.6,193.45,386.9,386.9,168.82,337.64,337.64,148.96,297.92,297.92,,,,,,
Virgin Money,Comprehensive,50,Days,50,Days,16,24,240.24,480.48,480.48,207.76,415.52,415.52,195.51,391.02,391.02,170.92,341.84,341.84,150.92,301.84,301.84,,,,,,
Virgin Money,Comprehensive,51,Days,51,Days,16,24,244.27,488.54,488.54,210.7,421.4,421.4,198.6,397.2,397.2,173.02,346.04,346.04,152.88,305.76,305.76,,,,,,
Virgin Money,Comprehensive,52,Days,52,Days,16,24,245.28,490.56,490.56,212.66,425.32,425.32,200.66,401.32,401.32,173.02,346.04,346.04,155.82,311.64,311.64,,,,,,
Virgin Money,Comprehensive,53,Days,53,Days,16,24,248.31,496.62,496.62,214.62,429.24,429.24,201.68,403.36,403.36,175.12,350.24,350.24,156.8,313.6,313.6,,,,,,
Virgin Money,Comprehensive,54,Days,54,Days,16,24,251.34,502.68,502.68,217.56,435.12,435.12,204.77,409.54,409.54,177.21,354.42,354.42,158.76,317.52,317.52,,,,,,
Virgin Money,Comprehensive,55,Days,55,Days,16,24,253.36,506.72,506.72,218.54,437.08,437.08,205.8,411.6,411.6,178.26,356.52,356.52,160.72,321.44,321.44,,,,,,
Virgin Money,Comprehensive,56,Days,56,Days,16,24,256.39,512.78,512.78,221.48,442.96,442.96,208.89,417.78,417.78,180.36,360.72,360.72,161.7,323.4,323.4,,,,,,
Virgin Money,Comprehensive,57,Days,57,Days,16,24,259.42,518.84,518.84,223.44,446.88,446.88,210.95,421.9,421.9,184.55,369.1,369.1,163.66,327.32,327.32,,,,,,
Virgin Money,Comprehensive,58,Days,58,Days,16,24,262.44,524.88,524.88,226.38,452.76,452.76,215.06,430.12,430.12,186.65,373.3,373.3,165.62,331.24,331.24,,,,,,
Virgin Money,Comprehensive,59,Days,59,Days,16,24,264.46,528.92,528.92,227.36,454.72,454.72,216.09,432.18,432.18,187.7,375.4,375.4,166.6,333.2,333.2,,,,,,
Virgin Money,Comprehensive,60,Days,62,Days,16,24,266.48,532.96,532.96,230.3,460.6,460.6,218.15,436.3,436.3,188.75,377.5,377.5,168.56,337.12,337.12,,,,,,
Virgin Money,Comprehensive,63,Days,92,Days,16,24,348.24,696.48,696.48,299.88,599.76,599.76,282.98,565.96,565.96,245.37,490.74,490.74,218.54,437.08,437.08,,,,,,
Virgin Money,Comprehensive,93,Days,123,Days,16,24,411.84,823.68,823.68,355.74,711.48,711.48,335.45,670.9,670.9,290.46,580.92,580.92,258.72,517.44,517.44,,,,,,
