POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1Cover,Comprehensive,38,Days,38,Days,0,59,223.85,447.70,447.70,169.00,338.00,338.00,158.00,316.00,316.00,129.00,258.00,258.00,,,
1Cover,Comprehensive,39,Days,39,Days,0,59,226.85,453.70,453.70,173.00,346.00,346.00,160.00,320.00,320.00,131.00,262.00,262.00,,,
1Cover,Comprehensive,40,Days,40,Days,0,59,229.85,459.70,459.70,179.00,358.00,358.00,163.00,326.00,326.00,133.00,266.00,266.00,,,
1Cover,Comprehensive,41,Days,41,Days,0,59,237.00,474.00,474.00,183.00,366.00,366.00,164.00,328.00,328.00,135.00,270.00,270.00,,,
1Cover,Comprehensive,42,Days,42,Days,0,59,239.00,478.00,478.00,187.00,374.00,374.00,167.00,334.00,334.00,137.00,274.00,274.00,,,
1Cover,Comprehensive,43,Days,43,Days,0,59,249.00,498.00,498.00,189.85,379.70,379.70,175.00,350.00,350.00,141.00,282.00,282.00,,,
1Cover,Comprehensive,44,Days,44,Days,0,59,253.00,506.00,506.00,195.00,390.00,390.00,177.00,354.00,354.00,143.00,286.00,286.00,,,
1Cover,Comprehensive,45,Days,45,Days,0,59,255.00,510.00,510.00,197.00,394.00,394.00,179.00,358.00,358.00,145.00,290.00,290.00,,,
1Cover,Comprehensive,46,Days,46,Days,0,59,261.00,522.00,522.00,199.85,399.70,399.70,181.00,362.00,362.00,147.00,294.00,294.00,,,
1Cover,Comprehensive,47,Days,47,Days,0,59,263.00,526.00,526.00,202.85,405.70,405.70,183.00,366.00,366.00,148.00,296.00,296.00,,,
1Cover,Comprehensive,48,Days,48,Days,0,59,265.00,530.00,530.00,204.85,409.70,409.70,185.00,370.00,370.00,150.00,300.00,300.00,,,
1Cover,Comprehensive,49,Days,49,Days,0,59,267.00,534.00,534.00,209.85,419.70,419.70,189.00,378.00,378.00,151.00,302.00,302.00,,,
1Cover,Comprehensive,50,Days,62,Days,0,59,309.00,618.00,618.00,249.00,498.00,498.00,219.00,438.00,438.00,165.00,330.00,330.00,,,
1Cover,Comprehensive,63,Days,92,Days,0,59,369.00,738.00,738.00,313.00,626.00,626.00,289.00,578.00,578.00,229.00,458.00,458.00,,,
1Cover,Comprehensive,93,Days,123,Days,0,59,475.00,950.00,950.00,349.00,698.00,698.00,343.00,686.00,686.00,269.00,538.00,538.00,,,
1Cover,Comprehensive,124,Days,153,Days,0,59,535.00,1070.00,1070.00,379.00,758.00,758.00,373.00,746.00,746.00,298.00,596.00,596.00,,,
1Cover,Comprehensive,154,Days,184,Days,0,59,589.00,1178.00,1178.00,439.00,878.00,878.00,429.00,858.00,858.00,335.00,670.00,670.00,,,
1Cover,Comprehensive,185,Days,215,Days,0,59,659.00,1318.00,1318.00,495.00,990.00,990.00,493.00,986.00,986.00,405.00,810.00,810.00,,,
1Cover,Comprehensive,216,Days,245,Days,0,59,719.00,1438.00,1438.00,565.00,1130.00,1130.00,559.00,1118.00,1118.00,455.00,910.00,910.00,,,
1Cover,Comprehensive,246,Days,276,Days,0,59,797.00,1594.00,1594.00,619.00,1238.00,1238.00,599.00,1198.00,1198.00,495.00,990.00,990.00,,,
1Cover,Comprehensive,277,Days,306,Days,0,59,839.00,1678.00,1678.00,695.00,1390.00,1390.00,669.00,1338.00,1338.00,535.00,1070.00,1070.00,,,
1Cover,Comprehensive,307,Days,337,Days,0,59,895.00,1790.00,1790.00,739.00,1478.00,1478.00,699.00,1398.00,1398.00,579.00,1158.00,1158.00,,,
1Cover,Comprehensive,338,Days,366,Days,0,59,935.00,1870.00,1870.00,769.00,1538.00,1538.00,729.00,1458.00,1458.00,609.00,1218.00,1218.00,,,
1Cover,Comprehensive,1,Days,1,Days,60,69,88.00,176.00,176.00,71.00,142.00,142.00,59.00,118.00,118.00,49.00,98.00,98.00,,,
1Cover,Comprehensive,2,Days,2,Days,60,69,88.00,176.00,176.00,71.00,142.00,142.00,59.00,118.00,118.00,49.00,98.00,98.00,,,
1Cover,Comprehensive,3,Days,3,Days,60,69,88.00,176.00,176.00,71.00,142.00,142.00,59.00,118.00,118.00,49.00,98.00,98.00,,,
1Cover,Comprehensive,4,Days,4,Days,60,69,91.00,182.00,182.00,75.00,150.00,150.00,63.00,126.00,126.00,52.00,104.00,104.00,,,
1Cover,Comprehensive,5,Days,5,Days,60,69,93.00,186.00,186.00,77.00,154.00,154.00,67.00,134.00,134.00,53.00,106.00,106.00,,,
1Cover,Comprehensive,6,Days,6,Days,60,69,95.00,190.00,190.00,79.00,158.00,158.00,74.00,148.00,148.00,56.00,112.00,112.00,,,
1Cover,Comprehensive,7,Days,7,Days,60,69,97.00,194.00,194.00,85.00,170.00,170.00,77.00,154.00,154.00,57.00,114.00,114.00,,,
1Cover,Comprehensive,8,Days,8,Days,60,69,103.00,206.00,206.00,88.00,176.00,176.00,81.00,162.00,162.00,58.00,116.00,116.00,,,
1Cover,Comprehensive,9,Days,9,Days,60,69,111.00,222.00,222.00,95.00,190.00,190.00,88.00,176.00,176.00,65.00,130.00,130.00,,,
1Cover,Comprehensive,10,Days,10,Days,60,69,115.00,230.00,230.00,97.00,194.00,194.00,92.00,184.00,184.00,68.00,136.00,136.00,,,
1Cover,Comprehensive,11,Days,11,Days,60,69,119.00,238.00,238.00,101.00,202.00,202.00,95.00,190.00,190.00,70.00,140.00,140.00,,,
1Cover,Comprehensive,12,Days,12,Days,60,69,121.00,242.00,242.00,109.00,218.00,218.00,97.00,194.00,194.00,72.00,144.00,144.00,,,
1Cover,Comprehensive,13,Days,13,Days,60,69,125.00,250.00,250.00,113.00,226.00,226.00,103.00,206.00,206.00,74.00,148.00,148.00,,,
1Cover,Comprehensive,14,Days,14,Days,60,69,127.00,254.00,254.00,115.00,230.00,230.00,105.00,210.00,210.00,76.00,152.00,152.00,,,
1Cover,Comprehensive,15,Days,15,Days,60,69,129.00,258.00,258.00,117.00,234.00,234.00,107.00,214.00,214.00,78.00,156.00,156.00,,,
1Cover,Comprehensive,16,Days,16,Days,60,69,131.00,262.00,262.00,121.00,242.00,242.00,109.00,218.00,218.00,80.00,160.00,160.00,,,
1Cover,Comprehensive,17,Days,17,Days,60,69,139.00,278.00,278.00,129.00,258.00,258.00,111.00,222.00,222.00,82.00,164.00,164.00,,,
1Cover,Comprehensive,18,Days,18,Days,60,69,149.00,298.00,298.00,132.00,264.00,264.00,113.00,226.00,226.00,84.00,168.00,168.00,,,
1Cover,Comprehensive,19,Days,19,Days,60,69,153.00,306.00,306.00,135.00,270.00,270.00,115.00,230.00,230.00,86.00,172.00,172.00,,,
1Cover,Comprehensive,20,Days,20,Days,60,69,157.00,314.00,314.00,137.00,274.00,274.00,117.00,234.00,234.00,88.00,176.00,176.00,,,
1Cover,Comprehensive,21,Days,21,Days,60,69,163.00,326.00,326.00,139.00,278.00,278.00,119.00,238.00,238.00,90.00,180.00,180.00,,,
1Cover,Comprehensive,22,Days,22,Days,60,69,165.00,330.00,330.00,141.00,282.00,282.00,121.00,242.00,242.00,92.00,184.00,184.00,,,
1Cover,Comprehensive,23,Days,23,Days,60,69,171.00,342.00,342.00,145.00,290.00,290.00,124.00,248.00,248.00,94.00,188.00,188.00,,,
