POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1st For Women,Diamond,8,Days,14,Days,65,74,138.98,268.69,277.95,105.83,204.6,211.65,96.9,187.34,193.8,89.25,172.55,178.5,,,
1st For Women,Diamond,15,Days,21,Days,65,74,196.35,379.61,392.7,163.2,315.52,326.4,132.6,256.36,265.2,113.48,219.39,226.95,,,
1st For Women,Diamond,22,Days,28,Days,65,74,239.7,463.42,479.4,191.25,369.75,382.5,167.03,322.92,334.05,140.25,271.15,280.5,,,
1st For Women,Diamond,29,Days,35,Days,65,74,279.23,539.84,558.45,205.28,396.87,410.55,184.88,357.43,369.75,150.45,290.87,300.9,,,
1st For Women,Diamond,36,Days,42,Days,65,74,340.43,658.16,680.85,260.1,502.86,520.2,210.38,406.73,420.75,167.03,322.92,334.05,,,
1st For Women,Diamond,43,Days,62,Days,65,74,400.35,774.01,800.7,303.45,586.67,606.9,258.83,500.4,517.65,212.93,411.66,425.85,,,
1st For Women,Diamond,63,Days,92,Days,65,74,545.7,1055.02,1091.4,419.48,810.99,838.95,371.03,717.32,742.05,290.7,562.02,581.4,,,
1st For Women,Diamond,93,Days,123,Days,65,74,648.98,1254.69,1297.95,502.35,971.21,1004.7,444.98,860.29,889.95,339.15,655.69,678.3,,,
1st For Women,Diamond,124,Days,153,Days,65,74,739.5,1429.7,1479,531.68,1027.91,1063.35,489.6,946.56,979.2,379.95,734.57,759.9,,,
1st For Women,Diamond,154,Days,184,Days,65,74,817.28,1580.07,1634.55,605.63,1170.88,1211.25,530.4,1025.44,1060.8,414.38,801.13,828.75,,,
1st For Women,Diamond,185,Days,215,Days,65,74,918,1774.8,1836,645.15,1247.29,1290.3,583.95,1128.97,1167.9,457.73,884.94,915.45,,,
1st For Women,Diamond,216,Days,245,Days,65,74,995.78,1925.17,1991.55,745.88,1442.03,1491.75,682.13,1318.78,1364.25,520.2,1005.72,1040.4,,,
1st For Women,Diamond,246,Days,276,Days,65,74,1129.65,2183.99,2259.3,861.9,1666.34,1723.8,780.3,1508.58,1560.6,624.75,1207.85,1249.5,,,
1st For Women,Diamond,277,Days,306,Days,65,74,1203.6,2326.96,2407.2,929.48,1796.99,1858.95,799.43,1545.56,1598.85,679.58,1313.85,1359.15,,,
1st For Women,Diamond,307,Days,337,Days,65,74,1305.6,2524.16,2611.2,976.65,1888.19,1953.3,881.03,1703.32,1762.05,698.7,1350.82,1397.4,,,
1st For Women,Diamond,338,Days,366,Days,65,74,1375.73,2659.74,2751.45,1030.2,1991.72,2060.4,932.03,1801.92,1864.05,775.2,1498.72,1550.4,,,
1st For Women,Ruby,1,Days,5,Days,16,54,62.9,119.51,125.8,50.15,95.29,100.3,39.1,74.29,78.2,39.1,74.29,78.2,,,
1st For Women,Ruby,6,Days,7,Days,16,54,68.85,130.82,137.7,52.7,100.13,105.4,46.75,88.83,93.5,42.5,80.75,85,,,
1st For Women,Ruby,8,Days,14,Days,16,54,89.25,169.58,178.5,65.45,124.36,130.9,60.35,114.67,120.7,55.25,104.98,110.5,,,
1st For Women,Ruby,15,Days,21,Days,16,54,125.8,239.02,251.6,90.95,172.81,181.9,79.05,150.2,158.1,72.25,137.28,144.5,,,
1st For Women,Ruby,22,Days,28,Days,16,54,154.7,293.93,309.4,107.95,205.11,215.9,95.2,180.88,190.4,89.25,169.58,178.5,,,
1st For Women,Ruby,29,Days,35,Days,16,54,181.05,344,362.1,132.6,251.94,265.2,102,193.8,204,96.9,184.11,193.8,,,
1st For Women,Ruby,36,Days,42,Days,16,54,221.85,421.52,443.7,158.95,302.01,317.9,127.5,242.25,255,108.8,206.72,217.6,,,
1st For Women,Ruby,43,Days,62,Days,16,54,245.65,466.74,491.3,191.25,363.38,382.5,165.75,314.93,331.5,132.6,251.94,265.2,,,
1st For Women,Ruby,63,Days,92,Days,16,54,329.8,626.62,659.6,231.2,439.28,462.4,213.35,405.37,426.7,186.15,353.69,372.3,,,
1st For Women,Ruby,93,Days,123,Days,16,54,399.5,759.05,799,279.65,531.34,559.3,249.9,474.81,499.8,213.35,405.37,426.7,,,
