POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Kango-Cover,Big Red,338,Days,366,Days,60,69,1469.00,2791.10,2791.10,959.00,1822.10,1822.10,929.00,1765.10,1765.10,845.00,1605.50,1605.50
Kango-Cover,Eastern Grey,1,Days,4,Days,0,59,59.00,112.10,112.10,47.00,89.30,89.30,45.00,85.50,85.50,35.00,66.50,66.50
Kango-Cover,Eastern Grey,5,Days,8,Days,0,59,87.00,165.30,165.30,67.00,127.30,127.30,65.00,123.50,123.50,45.00,85.50,85.50
Kango-Cover,Eastern Grey,9,Days,12,Days,0,59,99.90,189.81,189.81,79.00,150.10,150.10,75.00,142.50,142.50,54.00,102.60,102.60
Kango-Cover,Eastern Grey,13,Days,17,Days,0,59,120.00,228.00,228.00,87.00,165.30,165.30,83.00,157.70,157.70,63.00,119.70,119.70
Kango-Cover,Eastern Grey,18,Days,24,Days,0,59,141.00,267.90,267.90,106.00,201.40,201.40,103.00,195.70,195.70,78.00,148.20,148.20
Kango-Cover,Eastern Grey,25,Days,31,Days,0,59,180.00,342.00,342.00,137.00,260.30,260.30,132.00,250.80,250.80,90.00,171.00,171.00
Kango-Cover,Eastern Grey,32,Days,35,Days,0,59,207.00,393.30,393.30,155.00,294.50,294.50,145.00,275.50,275.50,107.00,203.30,203.30
Kango-Cover,Eastern Grey,36,Days,45,Days,0,59,253.00,480.70,480.70,177.00,336.30,336.30,170.00,323.00,323.00,131.00,248.90,248.90
Kango-Cover,Eastern Grey,46,Days,62,Days,0,59,312.00,592.80,592.80,225.00,427.50,427.50,215.00,408.50,408.50,157.00,298.30,298.30
Kango-Cover,Eastern Grey,63,Days,92,Days,0,59,405.00,769.50,769.50,285.00,541.50,541.50,285.00,541.50,541.50,225.00,427.50,427.50
Kango-Cover,Eastern Grey,93,Days,123,Days,0,59,478.00,908.20,908.20,329.00,625.10,625.10,325.00,617.50,617.50,252.00,478.80,478.80
Kango-Cover,Eastern Grey,124,Days,153,Days,0,59,555.00,1054.50,1054.50,380.00,722.00,722.00,370.00,703.00,703.00,288.00,547.20,547.20
Kango-Cover,Eastern Grey,154,Days,185,Days,0,59,649.00,1233.10,1233.10,445.00,845.50,845.50,441.00,837.90,837.90,335.00,636.50,636.50
Kango-Cover,Eastern Grey,186,Days,216,Days,0,59,749.00,1423.10,1423.10,499.00,948.10,948.10,493.00,936.70,936.70,378.00,718.20,718.20
Kango-Cover,Eastern Grey,217,Days,245,Days,0,59,811.00,1540.90,1540.90,555.00,1054.50,1054.50,527.00,1001.30,1001.30,435.00,826.50,826.50
Kango-Cover,Eastern Grey,246,Days,276,Days,0,59,889.00,1689.10,1689.10,605.00,1149.50,1149.50,585.00,1111.50,1111.50,479.00,910.10,910.10
Kango-Cover,Eastern Grey,277,Days,306,Days,0,59,949.00,1803.10,1803.10,659.00,1252.10,1252.10,655.00,1244.50,1244.50,526.00,999.40,999.40
Kango-Cover,Eastern Grey,307,Days,337,Days,0,59,1027.00,1951.30,1951.30,699.00,1328.10,1328.10,689.00,1309.10,1309.10,570.00,1083.00,1083.00
Kango-Cover,Eastern Grey,338,Days,366,Days,0,59,1078.00,2048.20,2048.20,735.00,1396.50,1396.50,715.00,1358.50,1358.50,619.00,1176.10,1176.10
