POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Webjet,Comprehensive Cover,33,Days,33,Days,16,75,189.02,359.14,378.04,149.37,283.81,298.75,132.78,252.28,265.55,109.54,208.13,219.08,105.11,199.72,210.23,,,,,,
Webjet,Comprehensive Cover,34,Days,34,Days,16,75,192.78,366.29,385.57,152.35,289.46,304.69,135.42,257.3,270.84,111.72,212.27,223.44,107.21,203.69,214.41,,,,,,
Webjet,Comprehensive Cover,35,Days,35,Days,16,75,196.54,373.42,393.07,155.31,295.09,310.63,138.06,262.31,276.11,113.9,216.4,227.79,109.29,207.66,218.59,,,,,,
Webjet,Comprehensive Cover,36,Days,36,Days,16,75,200.28,380.54,400.57,158.27,300.72,316.55,140.69,267.31,281.37,116.07,220.53,232.13,111.38,211.62,222.75,,,,,,
Webjet,Comprehensive Cover,37,Days,37,Days,16,75,204.02,387.64,408.05,161.23,306.33,322.46,143.31,272.3,286.63,118.23,224.64,236.47,113.46,215.57,226.91,,,,,,
Webjet,Comprehensive Cover,38,Days,38,Days,16,75,207.75,394.73,415.51,164.18,311.93,328.35,145.93,277.28,291.87,120.4,228.75,240.79,115.53,219.51,231.06,,,,,,
Webjet,Comprehensive Cover,39,Days,39,Days,16,75,211.48,401.81,422.96,167.12,317.53,334.24,148.55,282.25,297.1,122.55,232.85,245.11,117.6,223.44,235.2,,,,,,
Webjet,Comprehensive Cover,40,Days,40,Days,16,75,215.19,408.87,430.39,170.06,323.11,340.11,151.16,287.21,302.32,124.71,236.94,249.42,119.67,227.37,239.34,,,,,,
Webjet,Comprehensive Cover,41,Days,41,Days,16,75,218.9,415.92,437.81,172.99,328.67,345.97,153.77,292.15,307.53,126.86,241.03,253.71,121.73,231.29,243.46,,,,,,
Webjet,Comprehensive Cover,42,Days,42,Days,16,75,222.6,422.95,445.21,175.91,334.23,351.82,156.37,297.09,312.73,129,245.1,258,123.79,235.2,247.58,,,,,,
Webjet,Comprehensive Cover,43,Days,43,Days,16,75,226.3,429.97,452.6,178.83,339.78,357.66,158.96,302.02,317.92,131.14,249.17,262.28,125.84,239.1,251.69,,,,,,
Webjet,Comprehensive Cover,44,Days,44,Days,16,75,229.98,436.97,459.97,181.74,345.31,363.49,161.55,306.94,323.1,133.28,253.23,266.56,127.89,243,255.79,,,,,,
