POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Fast Cover,Comprehensive,55,Days,62,Days,60,69,328.6,624.3,657.2,291,552.9,582,262.9,499.5,525.8,223.7,425,447.4,,,
Fast Cover,Comprehensive,63,Days,92,Days,60,69,436.7,829.7,873.4,386.8,734.9,773.6,349.4,663.9,698.8,297.3,564.9,594.6,,,
Fast Cover,Comprehensive,93,Days,123,Days,60,69,503,955.7,1006,445.4,846.3,890.8,402.4,764.6,804.8,337.8,641.8,675.6,,,
Fast Cover,Comprehensive,124,Days,153,Days,60,69,577,1096.3,1154,511.1,971.1,1022.2,461.7,877.2,923.4,387.6,736.4,775.2,,,
Fast Cover,Comprehensive,154,Days,184,Days,60,69,666.8,1266.9,1333.6,590.6,1122.1,1181.2,533.5,1013.7,1067,447.9,851,895.8,,,
Fast Cover,Comprehensive,185,Days,215,Days,60,69,730.5,1388,1461,646.9,1229.1,1293.8,584.4,1110.4,1168.8,490.7,932.3,981.4,,,
Fast Cover,Comprehensive,216,Days,245,Days,60,69,804.6,1528.7,1609.2,712.7,1354.1,1425.4,643.6,1222.8,1287.2,540.4,1026.8,1080.8,,,
Fast Cover,Comprehensive,246,Days,276,Days,60,69,871.7,1656.2,1743.4,772.1,1467,1544.2,697.3,1324.9,1394.6,585.5,1112.5,1171,,,
Fast Cover,Comprehensive,277,Days,306,Days,60,69,920.5,1749,1841,815.4,1549.3,1630.8,736.5,1399.4,1473,618.3,1174.8,1236.6,,,
Fast Cover,Comprehensive,307,Days,337,Days,60,69,969.3,1841.7,1938.6,858.5,1631.2,1717,775.4,1473.3,1550.8,651.1,1237.1,1302.2,,,
Fast Cover,Comprehensive,338,Days,366,Days,60,69,1046,1987.4,2092,926.5,1760.4,1853,836.9,1590.1,1673.8,702.5,1334.8,1405,,,
Fast Cover,Comprehensive,1,Days,5,Days,70,74,113.9,216.4,227.8,101.9,193.6,203.8,90.9,172.7,181.8,76.9,146.1,153.8,,,
Fast Cover,Comprehensive,6,Days,8,Days,70,74,120.9,229.7,241.8,108.9,206.9,217.8,96.9,184.1,193.8,80.9,153.7,161.8,,,
