POLICY,POLICY,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER ME,INSURER NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,13,days,13,days,60,69,72.43,144.86,144.86,66.93,133.87,133.87,56.58,113.17,113.17,45.27,90.54,90.54,37.72,75.43,75.43,44.39,88.78,88.78
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,14,days,14,days,60,69,75.44,150.89,150.89,69.88,139.75,139.75,58.85,117.69,117.69,46.78,93.56,93.56,38.48,76.96,76.96,45.29,90.58,90.58
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,15,days,15,days,60,69,77.7,155.41,155.41,71.35,142.71,142.71,61.87,123.74,123.74,47.53,95.07,95.07,39.99,79.97,79.97,47.06,94.13,94.13
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,16,days,16,days,60,69,79.22,158.44,158.44,73.56,147.13,147.13,62.62,125.25,125.25,49.04,98.08,98.08,46.78,93.56,93.56,55.06,110.11,110.11
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,17,days,17,days,60,69,82.24,164.47,164.47,75.76,151.53,151.53,64.88,129.77,129.77,49.79,99.59,99.59,47.53,95.07,95.07,55.94,111.89,111.89
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,18,days,18,days,60,69,96.56,193.12,193.12,77.98,155.95,155.95,66.39,132.78,132.78,52.06,104.13,104.13,49.04,98.08,98.08,57.72,115.44,115.44
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,19,days,19,days,60,69,98.83,197.67,197.67,79.44,158.88,158.88,68.66,137.32,137.32,53.56,107.12,107.12,49.79,99.59,99.59,58.6,117.21,117.21
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,20,days,20,days,60,69,101.09,202.19,202.19,81.64,163.28,163.28,69.42,138.83,138.83,54.31,108.63,108.63,51.3,102.6,102.6,60.38,120.76,120.76
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,21,days,21,days,60,69,104.11,208.22,208.22,83.85,167.71,167.71,71.68,143.35,143.35,55.83,111.66,111.66,52.06,104.13,104.13,61.28,122.55,122.55
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,22,days,22,days,60,69,107.13,214.26,214.26,86.06,172.13,172.13,73.17,146.35,146.35,56.58,113.17,113.17,53.56,107.12,107.12,63.04,126.08,126.08
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,23,days,23,days,60,69,109.39,218.78,218.78,88.27,176.55,176.55,75.44,150.89,150.89,58.09,116.18,116.18,54.31,108.63,108.63,63.93,127.85,127.85
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,24,days,24,days,60,69,112.42,224.83,224.83,90.47,180.95,180.95,76.95,153.9,153.9,58.85,117.69,117.69,55.83,111.66,111.66,65.71,131.42,131.42
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,25,days,25,days,60,69,114.68,229.35,229.35,92.69,185.39,185.39,79.22,158.44,158.44,60.36,120.73,120.73,56.58,113.17,113.17,66.6,133.2,133.2
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,26,days,26,days,60,69,116.94,233.88,233.88,94.89,189.79,189.79,79.97,159.95,159.95,61.87,123.74,123.74,58.85,117.69,117.69,69.26,138.52,138.52
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,27,days,27,days,60,69,119.21,238.42,238.42,97.09,194.19,194.19,82.24,164.47,164.47,62.62,125.25,125.25,60.36,120.73,120.73,71.04,142.09,142.09
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,28,days,28,days,60,69,122.98,245.95,245.95,99.31,198.61,198.61,83.74,167.48,167.48,64.12,128.24,128.24,61.87,123.74,123.74,72.82,145.64,145.64
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,29,days,29,days,60,69,126.75,253.51,253.51,101.52,203.03,203.03,86,172.01,172.01,64.88,129.77,129.77,62.62,125.25,125.25,73.71,147.41,147.41
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,30,days,30,days,60,69,129.77,259.54,259.54,105.19,210.39,210.39,88.27,176.55,176.55,67.14,134.29,134.29,64.88,129.77,129.77,76.37,152.73,152.73
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,31,days,31,days,60,69,133.54,267.07,267.07,107.39,214.79,214.79,90.53,181.07,181.07,68.66,137.32,137.32,66.39,132.78,132.78,78.14,156.28,156.28
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,32,days,32,days,60,69,137.31,274.63,274.63,111.07,222.14,222.14,92.8,185.61,185.61,70.92,141.84,141.84,67.14,134.29,134.29,79.03,158.05,158.05
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,33,days,33,days,60,69,140.33,280.65,280.65,113.28,226.56,226.56,95.07,190.13,190.13,71.68,143.35,143.35,69.42,138.83,138.83,81.7,163.4,163.4
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,34,days,34,days,60,69,144.09,288.19,288.19,115.48,230.96,230.96,97.33,194.65,194.65,73.94,147.87,147.87,70.92,141.84,141.84,83.47,166.95,166.95
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,35,days,35,days,60,69,147.11,294.22,294.22,119.17,238.34,238.34,99.59,199.17,199.17,75.44,150.89,150.89,71.68,143.35,143.35,84.36,168.72,168.72
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,36,days,42,days,60,69,175.04,350.08,350.08,148.6,297.19,297.19,125.25,250.49,250.49,98.83,197.67,197.67,95.07,190.13,190.13,111.89,223.78,223.78
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,43,days,49,days,60,69,192.38,384.76,384.76,161.83,323.66,323.66,141.83,283.67,283.67,107.89,215.77,215.77,105.62,211.25,211.25,124.32,248.63,248.63
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,50,days,56,days,60,69,220.3,440.6,440.6,178.75,357.49,357.49,152.39,304.79,304.79,119.21,238.42,238.42,114.68,229.35,229.35,134.97,269.94,269.94
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,57,days,63,days,60,69,232.37,464.74,464.74,189.06,378.11,378.11,165.98,331.95,331.95,132.04,264.08,264.08,127.5,254.99,254.99,150.06,300.12,300.12
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,64,days,70,days,60,69,254.25,508.5,508.5,205.96,411.93,411.93,181.07,362.14,362.14,140.33,280.65,280.65,133.54,267.07,267.07,157.17,314.33,314.33
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,71,days,77,days,60,69,279.9,559.8,559.8,212.59,425.17,425.17,199.93,399.85,399.85,154.66,309.33,309.33,148.64,297.27,297.27,174.94,349.88,349.88
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,78,days,84,days,60,69,284.43,568.86,568.86,217,433.99,433.99,204.46,408.91,408.91,165.98,331.95,331.95,159.2,318.39,318.39,187.37,374.73,374.73
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,85,days,91,days,60,69,286.69,573.39,573.39,219.21,438.41,438.41,206.72,413.44,413.44,172.03,344.05,344.05,163.71,327.41,327.41,192.68,385.35,385.35
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,92,days,120,days,60,69,345.54,691.08,691.08,264.81,529.62,529.62,249.72,499.44,499.44,194.65,389.3,389.3,187.1,374.19,374.19,220.21,440.41,440.41
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,121,days,150,days,60,69,402.88,805.75,805.75,307.47,614.94,614.94,286.69,573.39,573.39,226.33,452.66,452.66,217.28,434.55,434.55,255.73,511.45,511.45
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,151,days,180,days,60,69,463.23,926.46,926.46,353.08,706.17,706.17,329.69,659.39,659.39,250.47,500.95,500.95,249.72,499.44,499.44,293.91,587.82,587.82
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,181,days,210,days,60,69,525.84,1051.68,1051.68,401.63,803.26,803.26,377.23,754.45,754.45,298.02,596.03,596.03,284.43,568.86,568.86,334.77,669.53,669.53
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,211,days,240,days,60,69,579.41,1158.83,1158.83,441.36,882.71,882.71,414.19,828.38,828.38,328.19,656.37,656.37,314.6,629.21,629.21,370.28,740.55,740.55
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,241,days,270,days,60,69,637.51,1275.01,1275.01,485.49,970.99,970.99,454.94,909.88,909.88,362.14,724.27,724.27,343.28,686.55,686.55,404.02,808.05,808.05
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,271,days,300,days,60,69,691.83,1383.66,1383.66,527.42,1054.84,1054.84,488.89,977.78,977.78,390.05,780.09,780.09,371.19,742.38,742.38,436.87,873.75,873.75
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,301,days,330,days,60,69,745.4,1490.8,1490.8,567.88,1135.76,1135.76,526.61,1053.21,1053.21,422.5,845,845,402.88,805.75,805.75,474.17,948.34,948.34
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,331,days,366,days,60,69,786.89,1573.79,1573.79,601.72,1203.44,1203.44,556.03,1112.07,1112.07,446.63,893.26,893.26,427.02,854.04,854.04,502.59,1005.17,1005.17
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,1,days,3,days,70,74,37.89,75.77,75.77,33.78,67.56,67.56,30.31,60.62,60.62,28.15,56.3,56.3,28.15,56.3,56.3,33.13,66.27,66.27
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,4,days,4,days,70,74,51.95,103.91,103.91,44.33,88.66,88.66,40.05,80.1,80.1,37.89,75.77,75.77,37.89,75.77,75.77,44.59,89.18,89.18
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,5,days,5,days,70,74,64.94,129.89,129.89,54.88,109.75,109.75,49.79,99.59,99.59,48.72,97.44,97.44,41.13,82.27,82.27,48.41,96.82,96.82
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,6,days,6,days,70,74,74.69,149.38,149.38,65.44,130.87,130.87,56.28,112.57,112.57,51.95,103.91,103.91,42.22,84.44,84.44,49.69,99.38,99.38
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,7,days,7,days,70,74,84.44,168.87,168.87,72.82,145.64,145.64,64.94,129.89,129.89,55.21,110.42,110.42,45.46,90.93,90.93,53.51,107.02,107.02
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,8,days,8,days,70,74,89.84,179.68,179.68,75.99,151.97,151.97,67.11,134.23,134.23,56.28,112.57,112.57,46.55,93.1,93.1,54.79,109.57,109.57
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,9,days,9,days,70,74,84.44,168.87,168.87,81.27,162.54,162.54,70.36,140.72,140.72,58.45,116.91,116.91,48.72,97.44,97.44,57.34,114.68,114.68
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,10,days,10,days,70,74,88.76,177.51,177.51,84.44,168.87,168.87,73.6,147.21,147.21,59.54,119.08,119.08,49.79,99.59,99.59,58.6,117.21,117.21
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,11,days,11,days,70,74,93.1,186.19,186.19,87.6,175.2,175.2,76.86,153.72,153.72,61.71,123.42,123.42,50.88,101.76,101.76,59.88,119.76,119.76
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,12,days,12,days,70,74,98.5,197,197,92.87,185.75,185.75,80.11,160.21,160.21,62.78,125.57,125.57,53.04,106.08,106.08,62.42,124.85,124.85
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,13,days,13,days,70,74,103.92,207.83,207.83,96.04,192.08,192.08,81.18,162.36,162.36,64.94,129.89,129.89,54.11,108.23,108.23,63.69,127.38,127.38
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,14,days,14,days,70,74,108.25,216.49,216.49,100.26,200.52,200.52,84.44,168.87,168.87,67.11,134.23,134.23,55.21,110.42,110.42,64.98,129.96,129.96
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,15,days,15,days,70,74,111.49,222.98,222.98,102.38,204.76,204.76,88.76,177.51,177.51,68.2,136.4,136.4,57.37,114.74,114.74,67.52,135.04,135.04
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,16,days,16,days,70,74,113.66,227.32,227.32,105.54,211.09,211.09,89.84,179.68,179.68,70.36,140.72,140.72,67.11,134.23,134.23,78.99,157.98,157.98
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,17,days,17,days,70,74,117.99,235.99,235.99,108.71,217.42,217.42,93.1,186.19,186.19,71.43,142.87,142.87,68.2,136.4,136.4,80.27,160.54,160.54
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,18,days,18,days,70,74,138.55,277.1,277.1,111.87,223.75,223.75,95.27,190.53,190.53,74.69,149.38,149.38,70.36,140.72,140.72,82.81,165.62,165.62
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,19,days,19,days,70,74,141.8,283.61,283.61,113.99,227.99,227.99,98.5,197,197,76.86,153.72,153.72,71.43,142.87,142.87,84.08,168.15,168.15
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,20,days,20,days,70,74,145.05,290.1,290.1,117.15,234.3,234.3,99.59,199.17,199.17,77.94,155.89,155.89,73.6,147.21,147.21,86.63,173.26,173.26
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,21,days,21,days,70,74,149.38,298.76,298.76,120.31,240.63,240.63,102.83,205.66,205.66,80.11,160.21,160.21,74.69,149.38,149.38,87.91,175.81,175.81
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,22,days,22,days,70,74,153.71,307.42,307.42,123.48,246.96,246.96,104.99,209.98,209.98,81.18,162.36,162.36,76.86,153.72,153.72,90.46,180.92,180.92
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,23,days,23,days,70,74,156.95,313.91,313.91,126.65,253.31,253.31,108.25,216.49,216.49,83.35,166.7,166.7,77.94,155.89,155.89,91.74,183.48,183.48
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,24,days,24,days,70,74,161.29,322.57,322.57,129.82,259.64,259.64,110.42,220.83,220.83,84.44,168.87,168.87,80.11,160.21,160.21,94.28,188.56,188.56
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,25,days,25,days,70,74,164.54,329.08,329.08,132.98,265.97,265.97,113.66,227.32,227.32,86.6,173.19,173.19,81.18,162.36,162.36,95.55,191.09,191.09
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,26,days,26,days,70,74,167.78,335.55,335.55,136.15,272.3,272.3,114.75,229.49,229.49,88.76,177.51,177.51,84.44,168.87,168.87,99.38,198.75,198.75
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,27,days,27,days,70,74,171.03,342.06,342.06,139.31,278.62,278.62,117.99,235.99,235.99,89.84,179.68,179.68,86.6,173.19,173.19,101.92,203.84,203.84
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,28,days,28,days,70,74,176.45,352.89,352.89,142.48,284.95,284.95,120.15,240.31,240.31,92.01,184.02,184.02,88.76,177.51,177.51,104.46,208.92,208.92
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,29,days,29,days,70,74,181.86,363.72,363.72,145.64,291.28,291.28,123.4,246.8,246.8,93.1,186.19,186.19,89.84,179.68,179.68,105.74,211.48,211.48
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,30,days,30,days,70,74,186.18,372.36,372.36,150.93,301.85,301.85,126.65,253.31,253.31,96.34,192.68,192.68,93.1,186.19,186.19,109.57,219.14,219.14
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,31,days,31,days,70,74,191.6,383.19,383.19,154.09,308.18,308.18,129.9,259.8,259.8,98.5,197,197,95.27,190.53,190.53,112.12,224.25,224.25
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,32,days,32,days,70,74,197.01,394.03,394.03,159.37,318.73,318.73,133.14,266.29,266.29,101.76,203.51,203.51,96.34,192.68,192.68,113.39,226.78,226.78
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,33,days,33,days,70,74,201.33,402.67,402.67,162.54,325.08,325.08,136.39,272.78,272.78,102.83,205.66,205.66,99.59,199.17,199.17,117.21,234.42,234.42
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,34,days,34,days,70,74,206.75,413.5,413.5,165.71,331.41,331.41,139.63,279.27,279.27,106.09,212.17,212.17,101.76,203.51,203.51,119.76,239.53,239.53
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,35,days,35,days,70,74,211.09,422.18,422.18,170.98,341.96,341.96,142.89,285.78,285.78,108.25,216.49,216.49,102.83,205.66,205.66,121.03,242.06,242.06
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,36,days,42,days,70,74,251.14,502.27,502.27,213.2,426.4,426.4,179.69,359.38,359.38,141.8,283.61,283.61,136.39,272.78,272.78,160.52,321.05,321.05
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,43,days,49,days,70,74,276.03,552.07,552.07,232.19,464.37,464.37,203.5,407.01,407.01,154.79,309.59,309.59,151.54,303.08,303.08,178.36,356.71,356.71
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,50,days,56,days,70,74,316.08,632.16,632.16,256.46,512.92,512.92,218.65,437.31,437.31,171.03,342.06,342.06,164.54,329.08,329.08,193.66,387.32,387.32
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,57,days,63,days,70,74,333.4,666.8,666.8,271.25,542.5,542.5,238.15,476.29,476.29,189.43,378.85,378.85,182.94,365.87,365.87,215.31,430.62,430.62
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,64,days,70,days,70,74,364.8,729.6,729.6,295.52,591.05,591.05,259.8,519.59,519.59,201.33,402.67,402.67,191.6,383.19,383.19,225.5,451.01,451.01
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,71,days,77,days,70,74,401.59,803.18,803.18,305.01,610.02,610.02,286.85,573.71,573.71,221.91,443.82,443.82,213.25,426.5,426.5,250.99,501.97,501.97
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,78,days,84,days,70,74,408.09,816.18,816.18,311.35,622.7,622.7,293.35,586.71,586.71,238.15,476.29,476.29,228.41,456.82,456.82,268.83,537.66,537.66
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,85,days,91,days,70,74,411.35,822.69,822.69,314.51,629.03,629.03,296.6,593.2,593.2,246.81,493.61,493.61,234.9,469.8,469.8,276.47,552.94,552.94
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,92,days,120,days,70,74,495.78,991.56,991.56,379.95,759.9,759.9,358.3,716.6,716.6,279.29,558.58,558.58,268.46,536.91,536.91,315.96,631.93,631.93
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,121,days,150,days,70,74,578.05,1156.09,1156.09,441.17,882.33,882.33,411.35,822.69,822.69,324.74,649.48,649.48,311.75,623.5,623.5,366.92,733.84,733.84
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,151,days,180,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,181,days,210,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,211,days,240,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,241,days,270,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,271,days,300,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,301,days,330,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,331,days,366,days,70,74,,,,,,,,,,,,,,,,,,
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,1,days,3,days,75,79,74.62,149.24,149.24,66.53,133.06,133.06,59.7,119.4,119.4,55.44,110.88,110.88,55.44,110.88,110.88,65.25,130.5,130.5
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,4,days,4,days,75,79,102.34,204.68,204.68,87.31,174.62,174.62,78.89,157.78,157.78,74.62,149.24,149.24,74.62,149.24,149.24,87.82,175.65,175.65
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,5,days,5,days,75,79,127.93,255.86,255.86,108.1,216.19,216.19,98.08,196.16,196.16,95.95,191.9,191.9,81.03,162.06,162.06,95.37,190.74,190.74
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,6,days,6,days,75,79,147.11,294.22,294.22,128.89,257.79,257.79,110.87,221.74,221.74,102.34,204.68,204.68,83.16,166.32,166.32,97.88,195.75,195.75
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,7,days,7,days,75,79,166.31,332.62,332.62,143.44,286.88,286.88,127.93,255.86,255.86,108.74,217.48,217.48,89.55,179.1,179.1,105.4,210.79,210.79
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,8,days,8,days,75,79,176.97,353.94,353.94,149.67,299.34,299.34,132.2,264.4,264.4,110.87,221.74,221.74,91.68,183.36,183.36,107.9,215.81,215.81
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,9,days,9,days,75,79,166.31,332.62,332.62,160.07,320.14,320.14,138.59,277.18,277.18,115.14,230.28,230.28,95.95,191.9,191.9,112.93,225.86,225.86
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,10,days,10,days,75,79,174.84,349.68,349.68,166.31,332.62,332.62,144.98,289.96,289.96,117.27,234.54,234.54,98.08,196.16,196.16,115.44,230.87,230.87
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,11,days,11,days,75,79,183.36,366.72,366.72,172.55,345.1,345.1,151.38,302.76,302.76,121.54,243.08,243.08,100.21,200.42,200.42,117.94,235.89,235.89
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,12,days,12,days,75,79,194.03,388.06,388.06,182.94,365.87,365.87,157.78,315.56,315.56,123.66,247.32,247.32,104.47,208.94,208.94,122.96,245.91,245.91
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,13,days,13,days,75,79,204.69,409.38,409.38,189.18,378.35,378.35,159.92,319.84,319.84,127.93,255.86,255.86,106.6,213.2,213.2,125.46,250.93,250.93
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,14,days,14,days,75,79,213.22,426.44,426.44,197.48,394.97,394.97,166.31,332.62,332.62,132.2,264.4,264.4,108.74,217.48,217.48,127.98,255.96,255.96
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,15,days,15,days,75,79,219.61,439.22,439.22,201.64,403.29,403.29,174.84,349.68,349.68,134.33,268.66,268.66,113,226,226,133,265.99,265.99
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,16,days,16,days,75,79,223.87,447.74,447.74,207.88,415.77,415.77,176.97,353.94,353.94,138.59,277.18,277.18,132.2,264.4,264.4,155.59,311.19,311.19
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,17,days,17,days,75,79,232.41,464.82,464.82,214.12,428.25,428.25,183.36,366.72,366.72,140.72,281.44,281.44,134.33,268.66,268.66,158.1,316.2,316.2
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,18,days,18,days,75,79,272.92,545.84,545.84,220.35,440.7,440.7,187.63,375.26,375.26,147.11,294.22,294.22,138.59,277.18,277.18,163.11,326.23,326.23
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,19,days,19,days,75,79,279.31,558.62,558.62,224.51,449.02,449.02,194.03,388.06,388.06,151.38,302.76,302.76,140.72,281.44,281.44,165.62,331.24,331.24
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,20,days,20,days,75,79,285.71,571.42,571.42,230.75,461.5,461.5,196.16,392.32,392.32,153.52,307.04,307.04,144.98,289.96,289.96,170.63,341.27,341.27
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,21,days,21,days,75,79,294.24,588.48,588.48,236.99,473.98,473.98,202.55,405.1,405.1,157.78,315.56,315.56,147.11,294.22,294.22,173.14,346.28,346.28
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,22,days,22,days,75,79,302.76,605.52,605.52,243.22,486.44,486.44,206.82,413.64,413.64,159.92,319.84,319.84,151.38,302.76,302.76,178.17,356.33,356.33
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,23,days,23,days,75,79,309.16,618.32,618.32,249.47,498.94,498.94,213.22,426.44,426.44,164.17,328.34,328.34,153.52,307.04,307.04,180.69,361.37,361.37
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,24,days,24,days,75,79,317.69,635.38,635.38,255.7,511.39,511.39,217.48,434.96,434.96,166.31,332.62,332.62,157.78,315.56,315.56,185.7,371.4,371.4
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,25,days,25,days,75,79,324.09,648.18,648.18,261.94,523.87,523.87,223.87,447.74,447.74,170.58,341.16,341.16,159.92,319.84,319.84,188.22,376.44,376.44
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,26,days,26,days,75,79,330.49,660.98,660.98,268.17,536.33,536.33,226.01,452.02,452.02,174.84,349.68,349.68,166.31,332.62,332.62,195.74,391.48,391.48
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,27,days,27,days,75,79,336.88,673.76,673.76,274.4,548.81,548.81,232.41,464.82,464.82,176.97,353.94,353.94,170.58,341.16,341.16,200.76,401.53,401.53
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,28,days,28,days,75,79,347.54,695.07,695.07,280.64,561.29,561.29,236.66,473.32,473.32,181.23,362.46,362.46,174.84,349.68,349.68,205.78,411.56,411.56
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,29,days,29,days,75,79,358.2,716.39,716.39,286.88,573.77,573.77,243.07,486.14,486.14,183.36,366.72,366.72,176.97,353.94,353.94,208.29,416.57,416.57
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,30,days,30,days,75,79,366.74,733.47,733.47,297.28,594.56,594.56,249.47,498.94,498.94,189.76,379.52,379.52,183.36,366.72,366.72,215.81,431.61,431.61
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,31,days,31,days,75,79,377.39,754.77,754.77,303.51,607.02,607.02,255.86,511.72,511.72,194.03,388.06,388.06,187.63,375.26,375.26,220.83,441.66,441.66
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,32,days,32,days,75,79,388.05,776.09,776.09,313.9,627.8,627.8,262.25,524.5,524.5,200.42,400.84,400.84,189.76,379.52,379.52,223.34,446.68,446.68
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Basic,33,days,33,days,75,79,396.58,793.15,793.15,320.15,640.3,640.3,268.65,537.3,537.3,202.55,405.1,405.1,196.16,392.32,392.32,230.87,461.74,461.74
