POLICY,POLICY,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER ME,INSURER NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,28,days,28,days,18,59,98.91,197.83,197.83,79.87,159.75,159.75,67.36,134.71,134.71,51.58,103.16,103.16,49.76,99.53,99.53,58.57,117.14,117.14
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,29,days,29,days,18,59,101.95,203.89,203.89,81.65,163.3,163.3,69.18,138.37,138.37,52.19,104.39,104.39,50.37,100.73,100.73,59.28,118.56,118.56
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,30,days,30,days,18,59,104.38,208.76,208.76,84.61,169.21,169.21,71,142,142,54,108.01,108.01,52.19,104.39,104.39,61.43,122.86,122.86
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,31,days,31,days,18,59,107.41,214.83,214.83,86.38,172.77,172.77,72.82,145.64,145.64,55.23,110.46,110.46,53.4,106.8,106.8,62.85,125.7,125.7
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,32,days,32,days,18,59,110.45,220.89,220.89,89.35,178.7,178.7,74.65,149.3,149.3,57.04,114.07,114.07,54,108.01,108.01,63.56,127.12,127.12
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,33,days,33,days,18,59,112.88,225.76,225.76,91.12,182.23,182.23,76.46,152.92,152.92,57.65,115.3,115.3,55.83,111.66,111.66,65.71,131.42,131.42
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,34,days,34,days,18,59,115.91,231.83,231.83,92.9,185.79,185.79,78.28,156.55,156.55,59.47,118.94,118.94,57.04,114.07,114.07,67.13,134.26,134.26
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,35,days,35,days,18,59,118.33,236.67,236.67,95.85,191.7,191.7,80.11,160.21,160.21,60.68,121.37,121.37,57.65,115.3,115.3,67.85,135.7,135.7
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,36,days,42,days,18,59,140.79,281.58,281.58,119.52,239.04,239.04,100.73,201.46,201.46,79.49,158.98,158.98,76.46,152.92,152.92,89.99,179.98,179.98
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,43,days,49,days,18,59,154.74,309.49,309.49,130.17,260.34,260.34,114.08,228.17,228.17,86.78,173.55,173.55,84.96,169.92,169.92,99.99,199.98,199.98
